E(MeV)	Mg-nat
1.52948E-02	1.96617
1.52958E-02	1.96674
1.52967E-02	1.9659
1.52969E-02	1.96544
1.52976E-02	1.96667
1.52986E-02	1.96668
1.52993E-02	1.96543
1.52995E-02	1.96593
1.53004E-02	1.96687
1.53014E-02	1.96623
1.53018E-02	1.96538
1.53023E-02	1.96632
1.53033E-02	1.96652
1.53042E-02	1.96556
1.53056E-02	1.9661
1.53087E-02	1.96483
1.53100E-02	1.96529
1.53103E-02	1.96567
1.53110E-02	1.96437
1.53119E-02	1.96367
1.53125E-02	1.96372
1.53132E-02	1.96429
1.53138E-02	1.96537
1.53139E-02	1.9656
1.53145E-02	1.96462
1.53152E-02	1.96397
1.53158E-02	1.96379
1.53165E-02	1.96408
1.53171E-02	1.9648
1.53176E-02	1.9656
1.53178E-02	1.9653
1.53185E-02	1.9646
1.53190E-02	1.96436
1.53195E-02	1.96431
1.53200E-02	1.96445
1.53205E-02	1.96476
1.53210E-02	1.96524
1.53213E-02	1.96556
1.53215E-02	1.96524
1.53220E-02	1.96475
1.53226E-02	1.96437
1.53231E-02	1.96416
1.53237E-02	1.96411
1.53242E-02	1.96421
1.53248E-02	1.96445
1.53254E-02	1.96483
1.53259E-02	1.96533
1.53261E-02	1.96553
1.53265E-02	1.96529
1.53271E-02	1.96504
1.53276E-02	1.96488
1.53282E-02	1.96481
1.53288E-02	1.96482
1.53293E-02	1.9649
1.53299E-02	1.96504
1.53304E-02	1.96525
1.53310E-02	1.96551
1.53318E-02	1.9651
1.53326E-02	1.96477
1.53334E-02	1.96451
1.53343E-02	1.96432
1.53351E-02	1.96417
1.53363E-02	1.96402
1.53375E-02	1.96395
1.53391E-02	1.96392
1.53408E-02	1.96394
1.53432E-02	1.96404
1.53472E-02	1.96426
1.53505E-02	1.96447
1.53521E-02	1.9646
1.53538E-02	1.96476
1.53554E-02	1.96494
1.53570E-02	1.96516
1.53583E-02	1.96536
1.53585E-02	1.96539
1.53595E-02	1.9653
1.53612E-02	1.96519
1.53629E-02	1.9651
1.53654E-02	1.96501
1.53688E-02	1.96492
1.54009E-02	1.96428
1.54059E-02	1.96419
1.54093E-02	1.96414
1.54131E-02	1.9641
1.54173E-02	1.96409
1.54277E-02	1.96409
1.54696E-02	1.96411
1.54780E-02	1.96413
1.54848E-02	1.96416
1.55875E-02	1.96476
1.56240E-02	1.96498
1.56516E-02	1.96469
1.67592E-02	1.95331
1.82420E-02	1.93408
2.07862E-02	1.90135
2.17260E-02	1.88365
2.55400E-02	1.81249
2.81884E-02	1.78726
2.83300E-02	1.78592
2.93349E-02	1.77677
3.07400E-02	1.76397
3.15857E-02	1.75594
3.15908E-02	1.7559
3.15942E-02	1.75587
3.15967E-02	1.75586
3.15992E-02	1.75585
3.16009E-02	1.75586
3.16026E-02	1.75587
3.16043E-02	1.75588
3.16060E-02	1.7559
3.16079E-02	1.75594
3.16099E-02	1.75598
