E(MeV)	"F-19(N,TOT)"
3.08755E-01	8.37309
3.08764E-01	8.36807
3.08777E-01	8.36138
3.08799E-01	8.3497
3.09067E-01	8.20632
3.09086E-01	8.19634
3.09099E-01	8.18972
3.09105E-01	8.18643
3.09111E-01	8.18591
3.09117E-01	8.18541
3.09121E-01	8.18673
3.09130E-01	8.19072
3.09142E-01	8.19598
3.09148E-01	8.19831
3.09154E-01	8.2065
3.09171E-01	8.22596
3.09203E-01	8.26498
3.09218E-01	8.28219
3.09219E-01	8.28545
3.09227E-01	8.29955
3.09236E-01	8.31359
3.09244E-01	8.32755
3.09252E-01	8.34141
3.09253E-01	8.34247
3.09260E-01	8.36165
3.09267E-01	8.37955
3.09274E-01	8.39736
3.09279E-01	8.40919
3.09287E-01	8.4312
3.09288E-01	8.43292
3.09298E-01	8.45868
3.09312E-01	8.49721
3.09323E-01	8.52712
3.09330E-01	8.54204
3.09357E-01	8.59391
3.09373E-01	8.60837
3.09387E-01	8.62198
3.09396E-01	8.63108
3.09405E-01	8.64022
3.09410E-01	8.64481
3.09415E-01	8.64576
3.09425E-01	8.64772
3.09435E-01	8.64972
3.09445E-01	8.65175
3.09455E-01	8.65381
3.09465E-01	8.65589
3.09470E-01	8.65695
3.09475E-01	8.65604
3.09485E-01	8.65426
3.09495E-01	8.65256
3.09504E-01	8.65093
3.09513E-01	8.64933
3.09523E-01	8.64774
3.09532E-01	8.64618
3.09542E-01	8.64462
3.09551E-01	8.64309
3.09565E-01	8.6408
3.09579E-01	8.63853
3.09593E-01	8.63627
3.09612E-01	8.63327
3.09626E-01	8.63103
3.09640E-01	8.62881
3.09651E-01	8.62704
3.09662E-01	8.62528
3.09679E-01	8.62265
3.09696E-01	8.62003
3.09713E-01	8.61741
3.09730E-01	8.61481
3.09740E-01	8.61327
3.09741E-01	8.61315
3.09752E-01	8.61205
3.09769E-01	8.61041
3.09786E-01	8.60878
3.09842E-01	8.60336
3.09955E-01	8.59252
3.09978E-01	8.59035
3.09994E-01	8.58874
3.10008E-01	8.58744
3.10024E-01	8.58594
3.10047E-01	8.58368
3.10079E-01	8.58068
3.10103E-01	8.57843
3.10126E-01	8.57618
3.10130E-01	8.57583
3.10142E-01	8.57545
3.10158E-01	8.57496
3.10189E-01	8.57397
3.10963E-01	8.54997
3.10994E-01	8.54899
3.11010E-01	8.5485
3.11018E-01	8.54843
3.11040E-01	8.54823
3.11100E-01	8.5477
3.11940E-01	8.54023
3.11970E-01	8.53996
3.11994E-01	8.53999
3.15000E-01	8.54443
3.16440E-01	8.54656
