E(MeV)	C-nat			
1.14000E+01	1.37339			
1.15000E+01	1.35649			
1.15530E+01	1.34502			
1.16813E+01	1.33848			
1.17080E+01	1.33712			
1.17500E+01	1.35434			
1.17510E+01	1.34965			
1.17991E+01	1.35902			
1.18000E+01	1.35944			
1.18640E+01	1.393			
1.19000E+01	1.41262			
1.19090E+01	1.40817			
1.19170E+01	1.42155			
1.20000E+01	1.42643			
1.20500E+01	1.44468			
1.20530E+01	1.44988			
1.20880E+01	1.44911			
1.21000E+01	1.45155			
1.21930E+01	1.38921			
1.21960E+01	1.38764			
1.22240E+01	1.37501			
1.22500E+01	1.36749			
1.23000E+01	1.34531			
1.23289E+01	1.33941			
1.24000E+01	1.32492			
1.25000E+01	1.33076			
1.25530E+01	1.34057			
1.25741E+01	1.3442			
1.26156E+01	1.35125			
1.26495E+01	1.35702			
1.27000E+01	1.36647			
1.27380E+01	1.36701			
1.27920E+01	1.38757			
1.29000E+01	1.40199			
1.29900E+01	1.42344			
1.30000E+01	1.42096			
1.30530E+01	1.41575			
1.30550E+01	1.4156			
1.30581E+01	1.41564			
1.31200E+01	1.41637			
1.32500E+01	1.40734			
1.32800E+01	1.39501			
1.32874E+01	1.39585			
1.33000E+01	1.39726			
1.35000E+01	1.39272			
1.35208E+01	1.39648			
1.35400E+01	1.39995			
1.35530E+01	1.39963			
1.35700E+01	1.40005			
1.35870E+01	1.40044			
1.36460E+01	1.38597			
1.37000E+01	1.38117			
1.37583E+01	1.37488			
1.37670E+01	1.37394			
1.38220E+01	1.34868			
1.38300E+01	1.34807			
1.39650E+01	1.33051			
1.40000E+01	1.30233			
1.40530E+01	1.31474			
1.40682E+01	1.31706			
1.41414E+01	1.32497			
1.41820E+01	1.32936			
1.42500E+01	1.33424			
1.43249E+01	1.32529			
1.43640E+01	1.32062			
1.43767E+01	1.31907			
1.44190E+01	1.31219			
1.44720E+01	1.31311			
1.44720E+01	1.31312			
1.44860E+01	1.31697			
1.45000E+01	1.32003			
1.45243E+01	1.32611			
1.45530E+01	1.33332			
1.45595E+01	1.33437			
1.45644E+01	1.33458			
1.45660E+01	1.33464			
1.46530E+01	1.36319			
1.46940E+01	1.37934			
1.47500E+01	1.38068			
1.47670E+01	1.37757			
1.47806E+01	1.37879			
1.48070E+01	1.38117			
1.48095E+01	1.38147			
1.48370E+01	1.38488			
1.48755E+01	1.38944			
1.48880E+01	1.39033			
1.48920E+01	1.39646			
1.49090E+01	1.39922			
1.49270E+01	1.39747			
1.49620E+01	1.39678			
1.49960E+01	1.4034			
1.50000E+01	1.39761			
1.50450E+01	1.41095			
1.50530E+01	1.4137			
1.50930E+01	1.42534			
1.52247E+01	1.43199			
1.52480E+01	1.43317			
1.52555E+01	1.43387			
1.52630E+01	1.43479			
1.54480E+01	1.45434			
1.54770E+01	1.45587			
1.54869E+01	1.45661			
1.55000E+01	1.45758			
1.55530E+01	1.46347			
1.56682E+01	1.47458			
1.57310E+01	1.48064			
1.59443E+01	1.50487			
1.59595E+01	1.5066			
1.59660E+01	1.50751			
1.59700E+01	1.5135			
1.59900E+01	1.51003			
1.60000E+01	1.51548			
1.60530E+01	1.50363			
1.60640E+01	1.50192			
1.60680E+01	1.50165			
1.62560E+01	1.46326			
1.63081E+01	1.44732			
1.63470E+01	1.43542			
1.64430E+01	1.43819			
1.65000E+01	1.43284			
1.65320E+01	1.42899			
1.65530E+01	1.42588			
1.66505E+01	1.41394			
1.66950E+01	1.40849			
1.68200E+01	1.39977			
1.68240E+01	1.39938			
1.69740E+01	1.39568			
1.70000E+01	1.39746			
1.70530E+01	1.40215			
1.70615E+01	1.40314			
1.70740E+01	1.40585			
1.71305E+01	1.399			
1.71380E+01	1.39869			
1.72435E+01	1.39483			
1.72980E+01	1.39467			
1.73000E+01	1.39467			
1.73010E+01	1.40482			
1.73914E+01	1.40232			
1.74310E+01	1.40122			
1.74670E+01	1.40112			
1.75000E+01	1.40605			
1.75530E+01	1.41171			
1.76160E+01	1.4165			
1.76870E+01	1.41765			
1.79000E+01	1.43208			
1.79010E+01	1.43424			
1.80000E+01	1.44302			
1.80530E+01	1.45268			
1.80870E+01	1.44677			
1.81580E+01	1.46791			
1.82730E+01	1.46648			
1.83090E+01	1.46495			
1.84600E+01	1.46167			
1.84747E+01	1.4646			
1.85000E+01	1.46965			
1.85160E+01	1.47263			
1.85200E+01	1.47329			
1.86320E+01	1.48312			
1.87000E+01	1.48714			
1.88330E+01	1.48517			
1.90000E+01	1.48756			
1.90300E+01	1.48805			
