E(MeV)	Xe-124
3.337363E-04	4.20931406
3.338720E-04	4.20797225
3.340077E-04	4.20669198
3.341433E-04	4.20548048
3.342790E-04	4.20434603
3.344147E-04	4.20329819
3.345504E-04	4.20234801
3.345780E-04	4.20217561
3.346710E-04	4.19993116
3.348293E-04	4.19625988
3.349348E-04	4.19391981
3.350403E-04	4.19167709
3.351458E-04	4.18954308
3.352514E-04	4.18753088
3.353569E-04	4.18565558
3.354624E-04	4.18393474
3.355529E-04	4.18259807
3.356433E-04	4.18140478
3.357338E-04	4.18037204
3.358242E-04	4.17951975
3.359147E-04	4.17887104
3.359448E-04	4.17873167
3.360051E-04	4.17678008
3.360956E-04	4.17411505
3.361860E-04	4.17174993
3.362564E-04	4.17014606
3.363267E-04	4.16877517
3.363971E-04	4.16766582
3.364674E-04	4.16685128
3.365378E-04	4.16637054
3.365478E-04	4.16635611
3.366081E-04	4.16427192
3.366785E-04	4.16227466
3.367488E-04	4.160777
3.368041E-04	4.1600016
3.368594E-04	4.1596287
3.369146E-04	4.15971227
3.369699E-04	4.1603168
3.370252E-04	4.1589583
3.370805E-04	4.15829515
3.371357E-04	4.15844853
3.371772E-04	4.15919185
3.372136E-04	4.16036201
3.372588E-04	4.1625985
3.372915E-04	4.16495812
3.373041E-04	4.16491596
3.373380E-04	4.1656127
3.373719E-04	4.16713913
3.374058E-04	4.16965074
3.374397E-04	4.17334383
3.374737E-04	4.17846731
3.374963E-04	4.18283026
3.375189E-04	4.18808165
3.375415E-04	4.19435439
3.375616E-04	4.20091352
3.375880E-04	4.21114904
3.375930E-04	4.2135101
3.376144E-04	4.22136842
3.376319E-04	4.22923507
3.376495E-04	4.2383768
3.376671E-04	4.24894663
3.376847E-04	4.26111806
3.377023E-04	4.27508204
3.377199E-04	4.29105439
3.377375E-04	4.30927132
3.377551E-04	4.3299988
3.377726E-04	4.35352623
3.377739E-04	4.3554295
3.377902E-04	4.37835363
3.378078E-04	4.40651604
3.378254E-04	4.43854497
3.378411E-04	4.47075188
3.378549E-04	4.50218216
3.378687E-04	4.53675252
3.378826E-04	4.57471506
3.378964E-04	4.61634627
3.379102E-04	4.661931
3.379240E-04	4.71177345
3.379378E-04	4.7661907
3.379517E-04	4.82552888
3.379655E-04	4.89013958
3.379793E-04	4.96039519
3.379931E-04	5.03667908
3.380069E-04	5.11940779
3.380208E-04	5.20899729
3.380346E-04	5.305884
3.380484E-04	5.41051066
3.380610E-04	5.51274792
3.380779E-04	5.66215684
3.380949E-04	5.82548164
3.381118E-04	6.00364975
3.381288E-04	6.1975696
3.381458E-04	6.40818701
3.381558E-04	6.54344944
3.381627E-04	6.63804334
3.381797E-04	6.88876079
3.381966E-04	7.1589602
3.382136E-04	7.44948916
3.382305E-04	7.76120386
3.382450E-04	8.04405262
3.382626E-04	8.41057961
3.382802E-04	8.80213558
3.382978E-04	9.21940844
3.383066E-04	9.44113136
3.383153E-04	9.66639115
3.383329E-04	10.1435325
3.383505E-04	10.6475189
3.383769E-04	11.4540472
3.384003E-04	12.2270376
3.384236E-04	13.0462361
3.384372E-04	13.5519295
3.384548E-04	14.2145115
3.384859E-04	15.4615124
3.384975E-04	15.9511297
3.385256E-04	17.1543713
3.385437E-04	17.9685232
3.385739E-04	19.3370295
3.385960E-04	20.3682665
3.386623E-04	23.4924914
3.386945E-04	25.0196477
3.387025E-04	25.3798225
3.387427E-04	27.1949805
3.387819E-04	28.8253535
3.387829E-04	28.8618343
3.388352E-04	30.7735161
3.388714E-04	31.8665818
3.388995E-04	32.5679556
3.389307E-04	33.1793214
3.389600E-04	33.5874732
3.389775E-04	33.7121518
3.389998E-04	33.861877
3.390273E-04	33.8625987
3.390484E-04	33.7516427
3.390533E-04	33.7238924
3.390824E-04	33.4015815
3.391085E-04	32.9789934
3.391367E-04	32.3749902
3.391688E-04	31.5195791
3.391729E-04	31.4103869
3.392060E-04	30.3473858
3.392191E-04	29.8730512
3.392452E-04	28.9055796
3.392894E-04	27.1018331
3.393095E-04	26.2141027
3.393698E-04	23.5083265
3.394412E-04	20.2706167
3.394422E-04	20.2245696
3.394784E-04	18.6203394
3.395146E-04	17.0871353
3.395347E-04	16.2812147
3.395467E-04	15.7945498
3.395708E-04	14.8723089
3.395950E-04	13.9970058
3.396191E-04	13.1705866
3.396432E-04	12.3942309
3.396633E-04	11.7858712
3.396834E-04	11.2125481
3.397035E-04	10.6739133
3.397236E-04	10.1693689
3.397437E-04	9.69809905
3.397638E-04	9.25909987
3.397739E-04	9.05515499
3.397839E-04	8.85325114
3.397990E-04	8.57003919
3.398166E-04	8.26004096
3.398354E-04	7.95126305
3.398543E-04	7.66545596
3.398731E-04	7.40132675
3.398744E-04	7.38508274
3.398919E-04	7.16184529
3.399108E-04	6.94180693
3.399233E-04	6.80513047
3.399359E-04	6.67601859
3.399485E-04	6.55412823
3.399610E-04	6.43908311
3.399736E-04	6.3305525
3.399849E-04	6.23842172
3.399862E-04	6.22848802
3.399987E-04	6.13504813
3.400125E-04	6.03861366
3.400276E-04	5.94053774
3.400427E-04	5.84939532
3.400578E-04	5.76469543
3.400728E-04	5.68597083
3.400879E-04	5.6127783
3.401030E-04	5.54469869
3.401055E-04	5.53414045
3.401181E-04	5.48419914
3.401331E-04	5.42861782
3.401482E-04	5.3770337
3.401633E-04	5.32912067
3.401784E-04	5.28457439
3.401934E-04	5.24311159
3.402085E-04	5.20446924
3.402236E-04	5.16840359
3.402387E-04	5.13468933
3.402550E-04	5.10057884
3.402663E-04	5.07859433
3.402726E-04	5.06752778
3.402902E-04	5.03890762
3.403078E-04	5.01239884
3.403253E-04	4.98778027
3.403429E-04	4.96484756
3.403605E-04	4.9434225
3.403781E-04	4.92334076
3.403957E-04	4.90446
3.404221E-04	4.87810976
3.404485E-04	4.85379422
3.404673E-04	4.83765555
3.404748E-04	4.83216507
3.405012E-04	4.8144059
3.405276E-04	4.79788304
3.405615E-04	4.7781652
3.405954E-04	4.75987651
3.406294E-04	4.74276848
3.406633E-04	4.72664541
3.406972E-04	4.71135103
3.407311E-04	4.69676222
3.407688E-04	4.68132712
3.407763E-04	4.67890985
3.408216E-04	4.66530373
3.408668E-04	4.65245346
3.409170E-04	4.6389295
3.409723E-04	4.62483533
3.410276E-04	4.6114419
3.410829E-04	4.59865159
3.411381E-04	4.58638535
3.411934E-04	4.57457805
3.412487E-04	4.56317521
3.412713E-04	4.55865714
3.413040E-04	4.55393954
3.413668E-04	4.54525287
3.414371E-04	4.53595275
3.415075E-04	4.52705022
3.415778E-04	4.51849647
3.416482E-04	4.51025023
3.417185E-04	4.50227635
3.417889E-04	4.4945447
3.418592E-04	4.48702931
3.419396E-04	4.47867641
3.419748E-04	4.47512575
3.420301E-04	4.47144375
3.421205E-04	4.46566744
3.422110E-04	4.46011016
3.423014E-04	4.45474654
3.423919E-04	4.44955481
3.424823E-04	4.44451623
3.425728E-04	4.43961456
3.426733E-04	4.43431174
3.427838E-04	4.4286338
3.428944E-04	4.42309988
3.430049E-04	4.41769349
3.431155E-04	4.41240047
3.432260E-04	4.40720857
3.432612E-04	4.40558539
3.433366E-04	4.40364743
3.435024E-04	4.39953374
3.436431E-04	4.39616717
3.437838E-04	4.39289993
3.439245E-04	4.38972052
