E(MeV)	pendfb7/Ce142:1	
1.24267E-03	820.965	
1.24338E-03	845.048	
1.24553E-03	923.83	
1.24767E-03	1009.24	
1.24839E-03	1039.9	
1.24982E-03	1101.21	
1.25196E-03	1199.5	
1.25268E-03	1234.5	
1.25483E-03	1339.5	
1.25804E-03	1506.81	
1.26037E-03	1631.37	
1.26412E-03	1832.57	
1.26556E-03	1909.22	
1.26663E-03	1962.94	
1.26806E-03	2034.56	
1.26913E-03	2083.32	
1.27056E-03	2148.34	
1.27164E-03	2191.25	
1.27244E-03	2223.44	
1.27351E-03	2260.29	
1.27432E-03	2287.92	
1.27557E-03	2322.84	
1.27625E-03	2341.79	
1.27757E-03	2368.92	
1.27828E-03	2383.4	
1.27950E-03	2399.19	
1.28018E-03	2407.95	
1.28143E-03	2414.83	
1.28209E-03	2418.41	
1.28272E-03	2418.8	
1.28397E-03	2413.78	
1.28460E-03	2411.27	
1.28648E-03	2391.45	
1.28898E-03	2347.95	
1.29148E-03	2287.97	
1.29274E-03	2251.32	
1.29417E-03	2209.45	
1.29846E-03	2063.42	
1.30132E-03	1958.24	
1.30561E-03	1800.47	
1.30847E-03	1695.3	
1.31133E-03	1596.02	
1.31277E-03	1546.38	
1.31420E-03	1500.52	
1.31706E-03	1408.79	
1.31992E-03	1324.03	
1.32278E-03	1244.91	
1.32564E-03	1171.32	
1.32850E-03	1103.03	
1.33136E-03	1039.75	
1.33422E-03	981.168	
1.33709E-03	926.942	
1.33995E-03	876.747	
1.34281E-03	830.263	
1.34567E-03	787.187	
1.34853E-03	747.96	
1.34996E-03	728.347	
1.35139E-03	710.788	
1.35425E-03	675.67	
1.35711E-03	644.149	
1.35854E-03	628.389	
1.35997E-03	614.205	
1.36284E-03	585.836	
1.36570E-03	560.23	
1.36713E-03	547.428	
1.36999E-03	524.25	
1.37142E-03	512.662	
1.37428E-03	491.623	
1.37571E-03	481.104	
1.37857E-03	461.953	
1.38000E-03	452.377	
1.38286E-03	434.896	
1.38430E-03	426.156	
1.38716E-03	410.156	
1.38859E-03	402.157	
1.39145E-03	387.477	
1.39288E-03	380.136	
1.39574E-03	366.812	
1.39860E-03	353.487	
1.40003E-03	347.501	
1.40432E-03	329.544	
1.40862E-03	313.344	
1.41005E-03	307.944	
1.41291E-03	298.164	
1.41577E-03	288.384	
1.41863E-03	279.498	
1.42149E-03	270.612	
1.42435E-03	262.506	
1.42721E-03	254.399	
1.43007E-03	246.975	
1.43294E-03	239.551	
1.43580E-03	232.729	
1.43866E-03	225.908	
1.44152E-03	219.663	
1.44510E-03	211.857	
1.44688E-03	208.298	
1.45225E-03	197.619	
1.45582E-03	191	
1.46298E-03	178.616	
1.47013E-03	167.25	
1.47728E-03	156.784	
1.48444E-03	147.102	
1.49159E-03	138.105	
1.49874E-03	129.706	
1.50590E-03	121.828	
1.51305E-03	114.401	
1.52020E-03	107.463	
1.52378E-03	103.994	
1.52914E-03	99.1011	
1.53451E-03	94.2084	
1.53808E-03	91.1408	
1.54345E-03	86.5397	
1.54881E-03	81.9387	
1.55418E-03	77.4948	
1.55954E-03	73.0511	
1.56312E-03	70.0888	
1.56670E-03	67.1267	
1.57027E-03	64.1647	
1.57385E-03	61.2028	
1.57743E-03	58.2412	
1.58100E-03	55.17	
1.58368E-03	52.8669	
1.58547E-03	51.3315	
1.58637E-03	50.531	
1.58905E-03	48.1296	
1.59173E-03	45.7284	
1.59218E-03	45.3283	
1.59441E-03	43.236	
1.59710E-03	40.7256	
1.59754E-03	40.3072	
1.59911E-03	38.7726	
1.60112E-03	36.7999	
1.60291E-03	35.0465	
1.60317E-03	34.7742	
1.60531E-03	32.5762	
1.60744E-03	30.3787	
1.60801E-03	29.7922	
1.60887E-03	28.8711	
1.61030E-03	27.334	
1.61173E-03	25.7971	
1.61237E-03	25.1039	
1.61316E-03	24.2315	
1.61462E-03	22.6005	
1.61613E-03	20.9283	
1.61763E-03	19.2567	
1.61813E-03	18.6997	
1.61914E-03	17.5859	
1.62027E-03	16.3333	
1.62139E-03	15.0813	
1.62190E-03	14.5251	
1.62252E-03	13.8539	
1.62365E-03	12.6463	
1.62378E-03	12.5122	
1.62478E-03	11.4905	
1.62534E-03	10.9161	
1.62591E-03	10.3724	
1.62628E-03	10.0102	
1.62694E-03	9.41086	
1.62719E-03	9.18276	
1.62798E-03	8.52024	
1.62804E-03	8.4673	
1.62860E-03	8.02607	
1.62901E-03	7.73091	
1.62917E-03	7.61757	
1.62973E-03	7.24641	
1.63004E-03	7.06347	
1.63030E-03	6.91744	
1.63086E-03	6.63626	
1.63108E-03	6.54504	
1.63128E-03	6.46061	
1.63163E-03	6.34232	
1.63199E-03	6.24631	
1.63203E-03	6.23386	
1.63244E-03	6.16297	
1.63283E-03	6.13386	
1.63285E-03	6.13272	
1.63305E-03	6.13429	
1.63341E-03	6.16473	
1.63368E-03	6.21768	
1.63376E-03	6.23294	
1.63411E-03	6.34241	
1.63445E-03	6.49072	
