E(MeV)	"O-16(N,TOT)"
1.91500E+00	2.62526
1.92000E+00	2.34821
1.92500E+00	2.15218
1.93000E+00	2.01705
1.93500E+00	1.92196
1.94000E+00	1.85294
1.95000E+00	1.76041
1.96000E+00	1.70135
1.97000E+00	1.65953
1.98000E+00	1.62762
1.99500E+00	1.59065
2.00000E+00	1.57962
2.05000E+00	1.49521
2.10000E+00	1.42209
2.15000E+00	1.33898
2.20000E+00	1.22056
2.22000E+00	1.15216
2.24000E+00	1.06245
2.26000E+00	0.941467
2.28000E+00	0.777265
2.30000E+00	0.563317
2.30875E+00	0.458022
2.31575E+00	0.373252
2.32100E+00	0.311622
2.32400E+00	0.278301
2.32700E+00	0.246831
2.32900E+00	0.2271
2.33100E+00	0.208532
2.33300E+00	0.191258
2.33450E+00	0.17926
2.33600E+00	0.168044
2.33750E+00	0.157795
2.33900E+00	0.148415
2.34050E+00	0.14009
2.34150E+00	0.13508
2.34250E+00	0.130535
2.34350E+00	0.126455
2.34450E+00	0.12285
2.34550E+00	0.119735
2.34650E+00	0.11711
2.34750E+00	0.114975
2.34850E+00	0.11333
2.34950E+00	0.112185
2.35050E+00	0.11154
2.35100E+00	0.111357
2.35200E+00	0.111447
2.35300E+00	0.112038
2.35394E+00	0.113085
2.35417E+00	0.113345
2.35536E+00	0.115358
2.35700E+00	0.119212
2.35800E+00	0.122176
2.35900E+00	0.125595
2.36000E+00	0.129445
2.36150E+00	0.136075
2.36300E+00	0.143554
2.36450E+00	0.15198
2.36600E+00	0.161178
2.36800E+00	0.174692
2.37000E+00	0.189473
2.37500E+00	0.231105
2.38000E+00	0.277798
2.40000E+00	0.480777
2.41000E+00	0.575563
2.42000E+00	0.659739
2.43000E+00	0.732341
2.43424E+00	0.75843
2.44000E+00	0.793875
2.45000E+00	0.84551
2.45129E+00	0.851073
2.46000E+00	0.888605
2.46858E+00	0.919411
2.47000E+00	0.924499
2.48000E+00	0.954352
2.49000E+00	0.979205
2.50000E+00	0.999893
2.52000E+00	1.03148
2.53873E+00	1.052
2.54000E+00	1.05339
2.55651E+00	1.06586
2.56000E+00	1.06849
2.57455E+00	1.07591
2.58000E+00	1.07869
2.60000E+00	1.08539
2.64953E+00	1.09253
2.65000E+00	1.09259
2.67464E+00	1.09274
2.68729E+00	1.09282
2.69364E+00	1.09286
2.69682E+00	1.09288
2.69821E+00	1.09289
