MeV	K-0
8.90508E-03	1.10977
8.90928E-03	1.12888
8.91745E-03	1.16878
8.92854E-03	1.22317
8.92958E-03	1.22866
8.94171E-03	1.29283
8.94780E-03	1.32513
8.95430E-03	1.36221
8.96549E-03	1.42623
8.96712E-03	1.43626
8.97994E-03	1.51551
8.98642E-03	1.55576
8.99308E-03	1.60078
8.99450E-03	1.61043
8.99636E-03	1.62693
8.99692E-03	1.63192
8.99934E-03	1.66284
8.99965E-03	1.66839
9.00177E-03	1.70752
9.00211E-03	1.71566
9.00419E-03	1.76532
9.00622E-03	1.82155
9.00742E-03	1.85514
9.01184E-03	1.99017
9.01216E-03	1.99972
9.01683E-03	2.15371
9.01747E-03	2.17636
9.02150E-03	2.31939
9.02309E-03	2.38006
9.02618E-03	2.49772
9.02872E-03	2.60211
9.03085E-03	2.68968
9.03435E-03	2.84432
9.03555E-03	2.89757
9.03979E-03	3.09992
9.04029E-03	3.12411
9.04504E-03	3.36772
9.04513E-03	3.37308
9.04978E-03	3.6301
9.05048E-03	3.67182
9.05452E-03	3.9132
9.05583E-03	3.99681
9.05927E-03	4.21799
9.06117E-03	4.35051
9.06485E-03	4.60625
9.06659E-03	4.73856
9.07042E-03	5.0307
9.07213E-03	5.17196
9.07600E-03	5.49326
9.07767E-03	5.6446
9.08158E-03	5.99927
9.08321E-03	6.16065
9.08716E-03	6.55052
9.08875E-03	6.72113
9.09149E-03	7.01298
9.09430E-03	7.3416
9.09519E-03	7.44656
9.09701E-03	7.69313
9.09766E-03	7.78151
9.09905E-03	8.00339
9.09952E-03	8.07831
9.10109E-03	8.37276
9.10137E-03	8.42595
9.10312E-03	8.80416
9.10322E-03	8.82556
9.10508E-03	9.27038
9.10516E-03	9.2926
9.10755E-03	9.91917
9.10788E-03	10.0125
9.10982E-03	10.5631
9.11059E-03	10.7993
9.11293E-03	11.5156
9.11331E-03	11.6409
9.11604E-03	12.5541
9.11725E-03	12.9911
9.11916E-03	13.6847
9.12092E-03	14.3836
9.12227E-03	14.9165
9.12460E-03	15.9212
9.12538E-03	16.2592
