MeV	Eu-nat	
2.64896E-06	507.312	
2.65502E-06	520.089	
2.65595E-06	522.553	
2.66201E-06	538.621	
2.66294E-06	541.406	
2.66667E-06	552.58	
2.66993E-06	563.008	
2.67692E-06	585.414	
2.68205E-06	601.88	
2.68344E-06	606.38	
2.68927E-06	623.161	
2.69044E-06	626.524	
2.69649E-06	640.522	
2.69743E-06	642.68	
2.70209E-06	650.415	
2.70675E-06	655.221	
2.71048E-06	656.542	
2.71117E-06	656.79	
2.71691E-06	654.21	
2.72208E-06	647.314	
2.72539E-06	640.431	
2.72632E-06	638.487	
2.73098E-06	625.653	
2.73564E-06	609.847	
2.73704E-06	604.193	
2.74217E-06	583.428	
2.74263E-06	581.266	
2.74869E-06	553.125	
2.75242E-06	534.213	
2.75801E-06	505.803	
2.76174E-06	486.486	
2.77106E-06	438.136	
2.77199E-06	433.296	
2.77898E-06	399.072	
2.78504E-06	371.579	
2.78598E-06	367.346	
2.79064E-06	347.806	
2.79530E-06	329.646	
2.79996E-06	312.886	
2.80462E-06	297.51	
2.80928E-06	283.474	
2.81394E-06	270.712	
2.81767E-06	261.46	
2.81860E-06	259.149	
2.82326E-06	248.706	
2.82792E-06	239.287	
2.83491E-06	226.889	
2.83631E-06	224.774	
2.84190E-06	216.334	
2.84889E-06	207.359	
2.85495E-06	200.754	
2.85588E-06	199.741	
2.86287E-06	193.304	
2.86986E-06	187.875	
2.87359E-06	185.445	
2.87686E-06	183.327	
2.88385E-06	179.555	
2.89223E-06	175.964	
2.89317E-06	175.567	
2.90132E-06	172.951	
2.91181E-06	170.617	
2.91554E-06	170.154	
2.92230E-06	169.33	
2.92765E-06	169.043	
2.93798E-06	169.143	
2.93985E-06	169.31	
2.94831E-06	170.078	
2.95863E-06	171.808	
2.96052E-06	172.267	
2.96896E-06	174.335	
2.97943E-06	177.709	
2.98133E-06	178.472	
2.98990E-06	181.937	
3.00037E-06	187.054	
3.00228E-06	188.161	
3.01085E-06	193.136	
3.02146E-06	200.361	
3.02335E-06	201.851	
3.03208E-06	208.779	
3.03923E-06	215.329	
3.04270E-06	218.523	
3.04717E-06	223.251	
3.05332E-06	229.787	
3.06226E-06	240.604	
3.06457E-06	243.754	
3.07121E-06	252.826	
3.07877E-06	264.516	
3.08015E-06	266.645	
3.08909E-06	282.316	
3.09297E-06	290.034	
3.09783E-06	299.7	
3.10365E-06	312.876	
3.10657E-06	319.476	
3.11434E-06	339.473	
3.11482E-06	340.725	
3.12210E-06	361.909	
3.12405E-06	368.257	
3.12939E-06	385.741	
3.13133E-06	392.912	
3.13667E-06	412.659	
3.13861E-06	420.617	
3.14152E-06	432.572	
3.14589E-06	452.085	
3.14638E-06	454.257	
3.15123E-06	477.926	
3.15318E-06	488.263	
3.15609E-06	503.794	
3.16046E-06	529.266	
3.16094E-06	532.1	
3.16531E-06	560.029	
3.16580E-06	563.136	
3.17017E-06	593.785	
3.17065E-06	597.195	
3.17502E-06	630.857	
