E(MeV)	pendfb7/Sm149:1	
1.19890E-07	74699.9747	
1.20631E-07	72944.2046	
1.20906E-07	72291.8262	
1.21410E-07	71121.9778	
1.21653E-07	70556.3892	
1.21923E-07	69929.4579	
1.21931E-07	69911.5702	
1.22439E-07	68754.6704	
1.22685E-07	68195.3408	
1.22705E-07	68148.5688	
1.22957E-07	67585.6541	
1.23346E-07	66714.6609	
1.23484E-07	66407.7116	
1.23725E-07	65879.1743	
1.23738E-07	65849.6814	
1.24130E-07	64990.7336	
1.24269E-07	64685.9933	
1.24524E-07	64138.3238	
1.24773E-07	63601.7415	
1.24919E-07	63289.8041	
1.25058E-07	62990.03	
1.25314E-07	62453.1683	
1.25712E-07	61615.935	
1.25831E-07	61365.6031	
1.25852E-07	61321.334	
1.25978E-07	61063.7678	
1.26243E-07	60518.2791	
1.26510E-07	59970.4797	
1.26631E-07	59721.3843	
1.26651E-07	59681.3189	
1.26778E-07	59426.5597	
1.27045E-07	58889.4881	
1.27313E-07	58352.4166	
1.27436E-07	58107.1045	
1.27456E-07	58066.6078	
1.27582E-07	57819.3327	
1.27852E-07	57291.0798	
1.28122E-07	56762.8268	
1.28245E-07	56523.7252	
1.28266E-07	56482.8597	
1.28392E-07	56240.9337	
1.28664E-07	55724.0126	
1.28936E-07	55204.9113	
1.29058E-07	54972.0949	
1.29080E-07	54930.9244	
1.29208E-07	54692.2971	
1.29481E-07	54186.9182	
1.29754E-07	53679.3982	
1.29879E-07	53448.6174	
1.29899E-07	53411.4999	
1.30029E-07	53176.3348	
1.30304E-07	52680.573	
1.30704E-07	51958.3705	
1.30716E-07	51936.9357	
1.30725E-07	51920.9899	
1.31131E-07	51207.5965	
1.31534E-07	50501.7212	
1.31547E-07	50478.7066	
1.31555E-07	50464.131	
1.31964E-07	49768.3759	
1.32368E-07	49078.9719	
1.32383E-07	49054.4653	
1.32390E-07	49041.224	
1.32802E-07	48361.1903	
1.33210E-07	47686.3716	
1.33223E-07	47664.3921	
1.33230E-07	47652.4452	
1.33787E-07	46764.9656	
1.34056E-07	46334.8999	
1.34352E-07	45862.256	
1.34360E-07	45850.6292	
1.34907E-07	45004.0531	
1.34929E-07	44970.0699	
1.35205E-07	44552.8971	
1.35499E-07	44108.0511	
1.35763E-07	43716.2282	
1.36073E-07	43257.1556	
1.36626E-07	42454.999	
1.36647E-07	42424.4884	
1.36929E-07	42025.1674	
1.37226E-07	41603.0373	
1.37494E-07	41231.4753	
1.37507E-07	41214.1419	
1.37806E-07	40799.5508	
1.38090E-07	40414.3393	
1.38367E-07	40037.7129	
1.38390E-07	40007.1316	
1.38672E-07	39632.2228	
1.38974E-07	39232.4441	
1.39245E-07	38880.762	
1.39260E-07	38861.1413	
1.39563E-07	38468.7311	
1.39848E-07	38107.4898	
1.40130E-07	37749.6422	
1.40152E-07	37722.2915	
1.40293E-07	37548.2232	
1.40737E-07	36997.7791	
1.40746E-07	36986.7705	
1.41021E-07	36654.443	
1.41183E-07	36458.1744	
1.41340E-07	36268.1341	
1.41631E-07	35923.9644	
1.41916E-07	35587.4671	
1.41939E-07	35560.145	
1.42080E-07	35398.0076	
1.42530E-07	34877.624	
1.42538E-07	34868.6985	
1.42816E-07	34555.1024	
1.43133E-07	34197.8898	
1.43142E-07	34187.6978	
1.43724E-07	33547.0694	
1.43739E-07	33531.284	
1.43746E-07	33522.703	
1.44347E-07	32877.8013	
1.44356E-07	32868.0023	
1.44637E-07	32572.4283	
1.44965E-07	32228.8498	
1.45264E-07	31922.9816	
1.45556E-07	31623.9316	
1.45579E-07	31599.6505	
1.46194E-07	30985.6018	
1.46479E-07	30707.2968	
1.46813E-07	30381.2427	
1.47091E-07	30117.0432	
1.47410E-07	29813.077	
1.47433E-07	29791.4669	
1.47713E-07	29531.3966	
1.48058E-07	29211.1746	
1.48338E-07	28957.5013	
1.48347E-07	28949.34	
1.48683E-07	28644.9841	
1.48809E-07	28533.9689	
1.49279E-07	28118.0057	
1.49289E-07	28109.4036	
1.49313E-07	28087.9053	
1.49754E-07	27708.094	
1.49943E-07	27544.5129	
1.50228E-07	27304.8928	
1.50236E-07	27298.3435	
1.50579E-07	27009.9414	
1.50704E-07	26907.2365	
1.51183E-07	26514.5777	
1.51191E-07	26507.5986	
1.51214E-07	26488.4927	
1.51502E-07	26258.6452	
1.51821E-07	26003.3518	
1.51855E-07	25975.6349	
1.52142E-07	25751.5221	
1.52152E-07	25744.3118	
1.52464E-07	25500.448	
1.52496E-07	25475.424	
1.52786E-07	25254.9236	
1.53108E-07	25010.0133	
1.53118E-07	25002.4159	
1.53143E-07	24983.4301	
1.53432E-07	24768.5182	
1.53757E-07	24527.6789	
1.53789E-07	24503.6739	
1.54081E-07	24292.1755	
1.54089E-07	24286.3945	
1.54406E-07	24057.3365	
1.54441E-07	24031.8402	
1.54733E-07	23825.7169	
1.55060E-07	23594.7257	
1.55069E-07	23588.5673	
1.55093E-07	23571.7085	
1.55387E-07	23368.9363	
1.55714E-07	23143.7168	
1.55750E-07	23119.2652	
1.56044E-07	22921.594	
1.56054E-07	22915.2336	
1.56374E-07	22700.1435	
1.56407E-07	22678.0716	
1.56704E-07	22483.6239	
1.57034E-07	22267.6501	
1.57045E-07	22260.9503	
1.57070E-07	22244.207	
1.57367E-07	22054.7192	
1.57700E-07	21842.3711	
1.57733E-07	21821.2068	
1.58033E-07	21634.7551	
1.58041E-07	21629.6587	
1.58402E-07	21405.2521	
1.58533E-07	21325.3672	
1.59037E-07	21019.9526	
1.59046E-07	21014.5247	
1.59070E-07	20999.6642	
1.59540E-07	20721.6978	
1.59745E-07	20600.8965	
1.60047E-07	20426.6905	
1.60056E-07	20421.0858	
1.60419E-07	20212.0785	
1.60554E-07	20135.8866	
1.61062E-07	19850.4047	
1.61072E-07	19844.5004	
1.61099E-07	19829.7461	
1.61745E-07	19475.6578	
1.61779E-07	19457.0076	
1.62094E-07	19288.2256	
1.62427E-07	19110.296	
1.62464E-07	19090.4909	
1.63125E-07	18746.2102	
1.63150E-07	18733.116	
1.63842E-07	18381.753	
1.64161E-07	18223.316	
1.64533E-07	18039.1532	
1.65193E-07	17720.463	
1.65203E-07	17715.2611	
1.65230E-07	17702.2599	
1.65893E-07	17390.2429	
1.65928E-07	17373.8089	
1.66252E-07	17225.0731	
1.66593E-07	17068.2765	
1.66631E-07	17050.8234	
1.67299E-07	16751.6292	
1.67309E-07	16747.4137	
1.67334E-07	16735.8747	
1.67829E-07	16520.0125	
1.68044E-07	16426.201	
1.68361E-07	16290.9032	
1.68372E-07	16286.5502	
1.68753E-07	16124.2248	
1.68895E-07	16065.0431	
1.69429E-07	15843.2957	
1.69440E-07	15838.7097	
1.69468E-07	15827.2497	
