E(MeV)  mcnp	Total /Ca:1 mcnp/Ca
1.072000E+00	1.50561
1.075900E+00	1.32781
1.080500E+00	1.10562
1.081800E+00	0.877814
1.082900E+00	1.11114
1.083800E+00	1.70534
1.084900E+00	2.35564
1.085500E+00	1.77224
1.088000E+00	1.61115
1.089200E+00	1.63865
1.089700E+00	1.88865
1.090500E+00	1.83316
1.091200E+00	1.82006
1.092700E+00	1.67996
1.093400E+00	2.09496
1.093800E+00	2.38506
1.094700E+00	2.73996
1.095400E+00	3.34517
1.096200E+00	2.97507
1.098400E+00	2.79997
1.099900E+00	3.52498
1.101500E+00	3.28498
1.103200E+00	3.81998
1.109300E+00	3.56999
1.110700E+00	3.235
1.111300E+00	3.36
1.120700E+00	3.11
1.124000E+00	2.50503
1.125400E+00	2.15503
1.126200E+00	2.46004
1.128200E+00	3.18504
1.129000E+00	3.53494
1.130300E+00	4.01515
1.131400E+00	3.01485
1.132600E+00	2.57505
1.133200E+00	2.19485
1.135300E+00	2.36015
1.135600E+00	2.29506
1.136000E+00	2.63986
1.136800E+00	2.98506
1.137600E+00	3.20006
1.138500E+00	2.72016
1.139500E+00	2.23997
1.140900E+00	1.90497
1.142700E+00	1.80497
1.143600E+00	2.36008
1.144400E+00	2.18498
1.145200E+00	2.37498
1.146800E+00	2.76998
1.155700E+00	2.25999
1.158300E+00	1.69501
1.159500E+00	1.82501
1.160400E+00	2.12001
1.161300E+00	2.37502
1.163200E+00	2.01002
1.165500E+00	1.81502
1.166800E+00	1.82503
1.169800E+00	2.08503
1.170300E+00	2.80504
1.170900E+00	2.51994
1.173900E+00	1.94504
1.178300E+00	1.53505
1.179200E+00	1.36986
1.181200E+00	1.59996
1.183100E+00	1.32996
1.187000E+00	1.61997
1.187143E+00	1.01998
1.190800E+00	1.06814
1.191200E+00	2.29996
1.192400E+00	2.63998
1.193600E+00	2.40664
1.194400E+00	2.1
1.196200E+00	1.79314
1.198700E+00	2.16673
1.199900E+00	2.79986
1.201100E+00	3.69332
1.202500E+00	4.47338
1.203200E+00	5.28665
1.203800E+00	5.73988
1.204600E+00	4.56001
1.205400E+00	3.50005
1.206300E+00	2.65329
1.207800E+00	2.02004
1.209200E+00	1.47331
1.211300E+00	1.35328
1.212000E+00	1.63329
1.213700E+00	1.80002
1.214200E+00	2.52001
1.214600E+00	3.31973
1.215300E+00	4.46005
1.216400E+00	5.13319
1.217900E+00	4.22004
1.218800E+00	3.89332
1.222400E+00	3.87996
1.227800E+00	3.46004
1.229600E+00	3.02001
1.230900E+00	3.2333
1.231700E+00	3.62687
1.233900E+00	3.99331
1.235200E+00	3.12002
1.237900E+00	3.33998
1.239000E+00	2.48672
1.239800E+00	2.31327
1.241100E+00	2.36001
1.242300E+00	2.31998
1.242900E+00	2.55344
1.243900E+00	2.83997
1.244700E+00	3.44682
1.246000E+00	3.05996
1.248300E+00	2.83332
1.248900E+00	3.17334
1.249800E+00	3.69337
1.250000E+00	4.31331
1.250600E+00	4.07667
1.251800E+00	3.36674
1.252400E+00	2.63987
1.253900E+00	2.39998
1.256800E+00	2.11331
1.258600E+00	2.39328
1.260100E+00	2.52003
1.261200E+00	2.39336
1.262400E+00	2.67329
1.263600E+00	3.39331
1.265400E+00	3.85984
1.266400E+00	3.04669
1.267500E+00	3.28671
1.269300E+00	4.01333
1.271100E+00	2.64678
1.272300E+00	2.06672
1.274800E+00	2.04005
1.278200E+00	1.82001
1.279400E+00	1.67999
1.280400E+00	1.72001
1.281600E+00	1.82444
1.282400E+00	2.08907
1.283300E+00	2.36498
1.283900E+00	2.42721
1.285200E+00	2.59442
1.287100E+00	2.84715
1.287900E+00	2.6061
1.288800E+00	2.76171
1.289700E+00	3.04174
1.290600E+00	3.38376
1.291500E+00	4.16558
1.292100E+00	3.5744
1.294000E+00	2.78501
1.295500E+00	2.24436
1.296400E+00	1.99169
1.296900E+00	1.96831
1.298800E+00	1.86333
1.300300E+00	2.01487
1.301900E+00	2.19781
1.304200E+00	2.21334
1.305100E+00	1.945
1.306900E+00	2.10062
1.308800E+00	1.97216
1.310100E+00	2.14331
1.311800E+00	2.64504
1.313300E+00	1.82058
1.314400E+00	1.61061
1.316200E+00	1.91394
1.318100E+00	2.49718
1.319600E+00	2.83562
1.321300E+00	2.51276
1.322900E+00	2.2483
1.326000E+00	2.18614
1.329000E+00	1.95671
1.331200E+00	2.11998
1.333000E+00	1.90613
1.334200E+00	2.25607
1.335200E+00	2.7344
1.336200E+00	2.33393
1.337200E+00	2.04615
1.338700E+00	1.89817
1.340700E+00	2.32221
1.342500E+00	1.73126
1.345100E+00	1.5211
1.345700E+00	1.83626
1.346500E+00	2.15497
1.348000E+00	2.08499
1.348600E+00	2.64513
1.350200E+00	3.02994
1.352400E+00	2.53998
1.354700E+00	2.07723
1.356000E+00	2.05778
1.358600E+00	2.28332
1.359900E+00	1.79718
1.360600E+00	1.78171
1.368200E+00	1.75502
1.370600E+00	1.325
1.372800E+00	1.53996
1.375500E+00	2.06501
1.376600E+00	2.91987
1.380800E+00	2.435
1.382400E+00	1.87
1.383400E+00	1.98514
1.386400E+00	1.79496
1.387100E+00	1.63013
1.388800E+00	1.91005
1.390600E+00	2.08499
1.392700E+00	2.57503
1.394700E+00	1.72998
1.398400E+00	1.56003
1.402000E+00	1.47501
1.405600E+00	1.325
1.407100E+00	1.44498
1.408100E+00	1.90002
1.410300E+00	2.17004
1.414300E+00	1.62999
1.419100E+00	1.35499
1.421500E+00	1.2
1.423300E+00	1.30496
1.423900E+00	1.53
1.425400E+00	1.95501
1.427100E+00	2.54505
1.428400E+00	1.72999
1.429600E+00	1.67002
1.431500E+00	2.19985
1.432800E+00	2.97499
1.436300E+00	3.76002
1.438300E+00	2.41
1.439400E+00	1.86515
1.441100E+00	1.66998
1.442800E+00	1.68002
1.443900E+00	1.37996
1.444900E+00	1.52998
1.445500E+00	1.80001
1.446700E+00	2.46002
1.448800E+00	3.59485
1.450800E+00	3.075
1.451500E+00	2.25505
1.452100E+00	1.90476
1.454000E+00	1.78498
1.455200E+00	1.91502
1.456500E+00	2.13505
1.457700E+00	3.18498
1.457900E+00	4.70031
1.459000E+00	4.80001
1.459900E+00	4.16994
1.462800E+00	3.36496
1.466600E+00	2.38223
1.468400E+00	1.87502
1.471500E+00	2.16216
1.474200E+00	2.26003
1.476300E+00	1.5939
1.477500E+00	1.50825
1.478000E+00	1.59997
1.479800E+00	1.81399
1.482400E+00	2.23563
1.484100E+00	1.51439
1.485000E+00	1.38003
1.488200E+00	1.49005
1.491000E+00	1.56943
1.493900E+00	2.12559
1.497300E+00	1.39826
1.500000E+00	2.11334
1.500600E+00	1.37835
1.504100E+00	1.21504
1.506500E+00	1.43495
1.510000E+00	1.3556
1.511800E+00	1.53891
1.514200E+00	1.39832
1.516400E+00	2.24167
1.519300E+00	2.4067
1.520400E+00	2.06438
