E(MeV)	mcnp/Ag-109:1
5.06421E-05	4.98488
5.06673E-05	4.98612
5.06925E-05	4.98736
5.07177E-05	4.9886
5.07428E-05	4.98985
0.000050768	4.99109
5.07857E-05	4.99196
5.07932E-05	4.99267
5.08058E-05	4.99387
5.08184E-05	4.99506
0.000050831	4.99626
5.08436E-05	4.99745
5.08562E-05	4.99864
5.08687E-05	4.99984
5.08813E-05	5.00103
5.08939E-05	5.00222
5.09065E-05	5.00342
5.09191E-05	5.00461
5.09317E-05	5.00581
5.09443E-05	5.007
5.09569E-05	5.00819
5.09695E-05	5.00939
5.09821E-05	5.01058
5.09947E-05	5.01178
5.10072E-05	5.01297
5.10198E-05	5.01416
0.000051027	5.01484
5.10324E-05	5.0156
0.000051045	5.01735
5.10702E-05	5.02085
5.10828E-05	5.0226
0.000051108	5.02609
5.11206E-05	5.02785
5.11458E-05	5.03134
5.11709E-05	5.03484
5.12087E-05	5.04009
5.12465E-05	5.04534
5.12683E-05	5.04837
5.12843E-05	5.05143
5.13094E-05	5.05625
5.13318E-05	5.06053
5.13708E-05	5.06799
0.0000514	5.07359
5.14097E-05	5.07545
5.14292E-05	5.07918
5.14682E-05	5.08665
5.14931E-05	5.09142
5.15096E-05	5.09457
5.15159E-05	5.09619
5.15386E-05	5.10206
5.15841E-05	5.1138
5.16296E-05	5.12555
5.16751E-05	5.13729
5.17054E-05	5.14512
5.17206E-05	5.14904
5.17509E-05	5.15687
0.000051766	5.16209
5.17812E-05	5.16732
5.17964E-05	5.17254
5.18115E-05	5.17777
5.18267E-05	5.18299
5.18419E-05	5.18822
0.000051857	5.19345
5.18722E-05	5.19867
5.18873E-05	5.2039
5.19025E-05	5.20913
5.19177E-05	5.21435
5.19328E-05	5.21958
5.19632E-05	5.23003
5.19922E-05	5.24005
5.20238E-05	5.25454
5.20541E-05	5.26844
5.20845E-05	5.28236
5.21148E-05	5.29626
5.21451E-05	5.31018
5.21754E-05	5.32408
5.22058E-05	5.338
5.22335E-05	5.35074
5.22664E-05	5.37085
5.23271E-05	5.40795
5.23877E-05	5.44505
5.24484E-05	5.48216
5.24749E-05	5.49836
0.000052509	5.52637
5.25697E-05	5.57611
5.26303E-05	5.62585
0.000052691	5.67559
5.27162E-05	5.69626
5.27516E-05	5.73533
5.28123E-05	5.8022
5.28729E-05	5.86906
5.29336E-05	5.93593
5.29575E-05	5.9623
5.30549E-05	6.0979
5.30781E-05	6.13031
5.31762E-05	6.29215
5.31988E-05	6.32951
5.32975E-05	6.52348
5.33194E-05	6.56669
5.33375E-05	6.60919
5.34188E-05	6.80029
5.34401E-05	6.85048
0.00005354	7.13371
5.35608E-05	7.1924
5.36613E-05	7.53883
5.36814E-05	7.60795
5.37826E-05	8.03598
5.38021E-05	8.1181
5.39039E-05	8.65309
5.39227E-05	8.7517
