E(MeV)	V-nat
1.42233E-03	9.10844E+00
1.42622E-03	9.09926E+00
1.43244E-03	9.01345E+00
1.44488E-03	8.69923E+00
1.44950E-03	8.57292E+00
1.45413E-03	8.44659E+00
1.45875E-03	8.32039E+00
1.46338E-03	8.20629E+00
1.47262E-03	8.01823E+00
1.48187E-03	7.87431E+00
1.49112E-03	7.76596E+00
1.50037E-03	7.69190E+00
1.50500E-03	7.65494E+00
1.50962E-03	7.63313E+00
1.52348E-03	7.56795E+00
1.54198E-03	7.52957E+00
1.54661E-03	7.52002E+00
1.56511E-03	7.51072E+00
1.59285E-03	7.53281E+00
1.60210E-03	7.54023E+00
1.63909E-03	7.60764E+00
1.64834E-03	7.62452E+00
1.67353E-03	7.67053E+00
1.69458E-03	7.72680E+00
1.79036E-03	7.98312E+00
1.90212E-03	8.34733E+00
2.00511E-03	8.73140E+00
2.11075E-03	9.18010E+00
2.21380E-03	9.67631E+00
2.30191E-03	1.01583E+01
2.38693E-03	1.06883E+01
2.46901E-03	1.12650E+01
2.52684E-03	1.17202E+01
2.57902E-03	1.21693E+01
2.62866E-03	1.26357E+01
2.68336E-03	1.32015E+01
2.73554E-03	1.37980E+01
2.76818E-03	1.41963E+01
2.78771E-03	1.44603E+01
2.81999E-03	1.48969E+01
2.88475E-03	1.58908E+01
2.93656E-03	1.67952E+01
2.98578E-03	1.77615E+01
3.01686E-03	1.84222E+01
3.02722E-03	1.86686E+01
3.05831E-03	1.94082E+01
3.07903E-03	1.99579E+01
3.09976E-03	2.05079E+01
3.12048E-03	2.11234E+01
3.14120E-03	2.17392E+01
3.16192E-03	2.24323E+01
3.18265E-03	2.31256E+01
3.20337E-03	2.38971E+01
3.21373E-03	2.42829E+01
3.24482E-03	2.55556E+01
3.27590E-03	2.69594E+01
3.28626E-03	2.74770E+01
3.30699E-03	2.85126E+01
3.31735E-03	2.90871E+01
3.33807E-03	3.02364E+01
3.34843E-03	3.08762E+01
3.36916E-03	3.21560E+01
3.37952E-03	3.28709E+01
3.40024E-03	3.43009E+01
3.41060E-03	3.51025E+01
3.43133E-03	3.67062E+01
3.44169E-03	3.76084E+01
3.46241E-03	3.94133E+01
3.47277E-03	4.04113E+01
3.48313E-03	4.14097E+01
3.50386E-03	4.35788E+01
3.52458E-03	4.59402E+01
3.53494E-03	4.72274E+01
3.54530E-03	4.85150E+01
3.56603E-03	5.13276E+01
3.58675E-03	5.44058E+01
3.60747E-03	5.77807E+01
3.62820E-03	6.14875E+01
3.64892E-03	6.55663E+01
3.66964E-03	7.00623E+01
3.69037E-03	7.50264E+01
3.71109E-03	8.05160E+01
3.73181E-03	8.65957E+01
3.75254E-03	9.33372E+01
3.76808E-03	9.88857E+01
3.77326E-03	1.00879E+02
3.78362E-03	1.04867E+02
3.79398E-03	1.09197E+02
3.79916E-03	1.11362E+02
3.81471E-03	1.18366E+02
3.83025E-03	1.25971E+02
3.83543E-03	1.28702E+02
3.84579E-03	1.34166E+02
3.85615E-03	1.40088E+02
3.86133E-03	1.43049E+02
3.87688E-03	1.52602E+02
3.89242E-03	1.62924E+02
3.89760E-03	1.66609E+02
3.90796E-03	1.73979E+02
3.91832E-03	1.81970E+02
3.92868E-03	1.89963E+02
3.93905E-03	1.98652E+02
3.94941E-03	2.07343E+02
3.97013E-03	2.26048E+02
3.99085E-03	2.45912E+02
4.03230E-03	2.87642E+02
4.05561E-03	3.11113E+02
4.06338E-03	3.18934E+02
4.07893E-03	3.33250E+02
4.08670E-03	3.40406E+02
4.09447E-03	3.46761E+02
4.10224E-03	3.53114E+02
4.11001E-03	3.58605E+02
4.11778E-03	3.64095E+02
4.12555E-03	3.68554E+02
4.13332E-03	3.73010E+02
4.14110E-03	3.76301E+02
4.14887E-03	3.79589E+02
4.15146E-03	3.80308E+02
4.16156E-03	3.83110E+02
4.16545E-03	3.83616E+02
4.17451E-03	3.84796E+02
4.18254E-03	3.85060E+02
4.19809E-03	3.83509E+02
4.21363E-03	3.79667E+02
4.22399E-03	3.75617E+02
4.22917E-03	3.73591E+02
4.24471E-03	3.65721E+02
4.26544E-03	3.52891E+02
4.28616E-03	3.38192E+02
4.31724E-03	3.13927E+02
4.33279E-03	3.01796E+02
4.34056E-03	2.95733E+02
4.34444E-03	2.92750E+02
4.35059E-03	2.88033E+02
4.35512E-03	2.84562E+02
4.35738E-03	2.82828E+02
4.36011E-03	2.80742E+02
4.36283E-03	2.78660E+02
4.36465E-03	2.77274E+02
4.36646E-03	2.75890E+02
4.36783E-03	2.74855E+02
4.36919E-03	2.73824E+02
4.37010E-03	2.73138E+02
4.37100E-03	2.72456E+02
4.37191E-03	2.71776E+02
4.37255E-03	2.71304E+02
4.37318E-03	2.70834E+02
4.37382E-03	2.70368E+02
4.37430E-03	2.70022E+02
4.37477E-03	2.69680E+02
4.37525E-03	2.69342E+02
4.37557E-03	2.69120E+02
4.37579E-03	2.68970E+02
4.37588E-03	2.68918E+02
4.37620E-03	2.68753E+02
4.37652E-03	2.68594E+02
4.37676E-03	2.68479E+02
4.37700E-03	2.68370E+02
4.37722E-03	2.68271E+02
4.37745E-03	2.68180E+02
4.37760E-03	2.68123E+02
4.37775E-03	2.68071E+02
4.37790E-03	2.68024E+02
4.37806E-03	2.67982E+02
4.37821E-03	2.67946E+02
4.37836E-03	2.67917E+02
4.37851E-03	2.67897E+02
4.37866E-03	2.67885E+02
4.37881E-03	2.67884E+02
4.37887E-03	2.67888E+02
4.37896E-03	2.67930E+02
4.37912E-03	2.68013E+02
4.37923E-03	2.68085E+02
4.37934E-03	2.68165E+02
4.37946E-03	2.68261E+02
4.37960E-03	2.68382E+02
4.37974E-03	2.68518E+02
4.37987E-03	2.68671E+02
4.38001E-03	2.68842E+02
4.38002E-03	2.68863E+02
4.38014E-03	2.69120E+02
4.38028E-03	2.69430E+02
4.38042E-03	2.69761E+02
4.38055E-03	2.70115E+02
4.38069E-03	2.70491E+02
4.38082E-03	2.70890E+02
4.38094E-03	2.71242E+02
4.38108E-03	2.71686E+02
4.38121E-03	2.72155E+02
4.38135E-03	2.72648E+02
4.38155E-03	2.73433E+02
4.38166E-03	2.73866E+02
4.38176E-03	2.74333E+02
4.38196E-03	2.75350E+02
4.38221E-03	2.76646E+02
4.38254E-03	2.78440E+02
4.38304E-03	2.81128E+02
4.38338E-03	2.82963E+02
4.38359E-03	2.84014E+02
4.38384E-03	2.85160E+02
4.38408E-03	2.86122E+02
4.38417E-03	2.86445E+02
4.38430E-03	2.86782E+02
4.38450E-03	2.87202E+02
4.38452E-03	2.87235E+02
4.38466E-03	2.87286E+02
4.38482E-03	2.87269E+02
4.38500E-03	2.87157E+02
4.38518E-03	2.86941E+02
4.38538E-03	2.86595E+02
4.38554E-03	2.86203E+02
4.38571E-03	2.85729E+02
4.38576E-03	2.85515E+02
4.38597E-03	2.84436E+02
4.38621E-03	2.83114E+02
4.38648E-03	2.81460E+02
4.38680E-03	2.79386E+02
4.38727E-03	2.76171E+02
4.38746E-03	2.74894E+02
4.38772E-03	2.73108E+02
4.38799E-03	2.71318E+02
4.38822E-03	2.69873E+02
4.38838E-03	2.68825E+02
4.38855E-03	2.67811E+02
4.38872E-03	2.66833E+02
4.38879E-03	2.66449E+02
4.38889E-03	2.65971E+02
4.38902E-03	2.65368E+02
4.38915E-03	2.64788E+02
4.38928E-03	2.64230E+02
4.38941E-03	2.63695E+02
4.38955E-03	2.63181E+02
4.38968E-03	2.62687E+02
4.38981E-03	2.62214E+02
4.38994E-03	2.61759E+02
4.39007E-03	2.61322E+02
4.39009E-03	2.61262E+02
4.39020E-03	2.60982E+02
4.39029E-03	2.60774E+02
4.39041E-03	2.60487E+02
4.39054E-03	2.60213E+02
4.39066E-03	2.59951E+02
4.39079E-03	2.59701E+02
4.39091E-03	2.59460E+02
4.39104E-03	2.59229E+02
4.39116E-03	2.59006E+02
4.39129E-03	2.58791E+02
4.39141E-03	2.58584E+02
4.39154E-03	2.58383E+02
4.39166E-03	2.58187E+02
4.39179E-03	2.57998E+02
4.39197E-03	2.57722E+02
4.39209E-03	2.57562E+02
4.39216E-03	2.57483E+02
4.39235E-03	2.57294E+02
4.39254E-03	2.57111E+02
4.39272E-03	2.56934E+02
4.39291E-03	2.56762E+02
4.39316E-03	2.56539E+02
4.39341E-03	2.56322E+02
4.39366E-03	2.56110E+02
4.39391E-03	2.55902E+02
4.39429E-03	2.55595E+02
4.39466E-03	2.55294E+02
4.39503E-03	2.54997E+02
4.39553E-03	2.54607E+02
4.39603E-03	2.54221E+02
4.39661E-03	2.53781E+02
4.39726E-03	2.53288E+02
4.39791E-03	2.52798E+02
4.39856E-03	2.52311E+02
4.39953E-03	2.51584E+02
4.40050E-03	2.50861E+02
4.40148E-03	2.50140E+02
4.40278E-03	2.49182E+02
4.40408E-03	2.48226E+02
4.40508E-03	2.47493E+02
4.40602E-03	2.46862E+02
4.40787E-03	2.45635E+02
4.41027E-03	2.44047E+02
4.41387E-03	2.41667E+02
4.41627E-03	2.40082E+02
4.42106E-03	2.36915E+02
4.42837E-03	2.32094E+02
4.43589E-03	2.27129E+02
4.44593E-03	2.21101E+02
4.45685E-03	2.14541E+02
4.46778E-03	2.08512E+02
4.48234E-03	2.00475E+02
4.49691E-03	1.93189E+02
4.50419E-03	1.89547E+02
4.51147E-03	1.86199E+02
4.52604E-03	1.79504E+02
4.54060E-03	1.73428E+02
4.54789E-03	1.70390E+02
4.56099E-03	1.65340E+02
4.56682E-03	1.63097E+02
4.57847E-03	1.59050E+02
4.59013E-03	1.55004E+02
4.60178E-03	1.51141E+02
4.62508E-03	1.44093E+02
4.64839E-03	1.37705E+02
4.67169E-03	1.31913E+02
4.69500E-03	1.26657E+02
4.71830E-03	1.21883E+02
4.74160E-03	1.17544E+02
4.76491E-03	1.13707E+02
4.77656E-03	1.11788E+02
4.78821E-03	1.10103E+02
4.81152E-03	1.06732E+02
4.83482E-03	1.03832E+02
4.84647E-03	1.02382E+02
4.85813E-03	1.01106E+02
4.88143E-03	9.85551E+01
4.90473E-03	9.63584E+01
4.91639E-03	9.52603E+01
4.93969E-03	9.33824E+01
4.96300E-03	9.15050E+01
4.97465E-03	9.07284E+01
5.00960E-03	8.83995E+01
5.04456E-03	8.64861E+01
5.05621E-03	8.58484E+01
5.07952E-03	8.48116E+01
5.10282E-03	8.37751E+01
5.11447E-03	8.33717E+01
5.16108E-03	8.17587E+01
5.20769E-03	8.05544E+01
5.25430E-03	7.96686E+01
5.30091E-03	7.90710E+01
5.34752E-03	7.88160E+01
5.37082E-03	7.86887E+01
5.39413E-03	7.86493E+01
5.44074E-03	7.88737E+01
5.47023E-03	7.90158E+01
5.48734E-03	7.92063E+01
5.53395E-03	7.97255E+01
5.54541E-03	7.99327E+01
5.59597E-03	8.08480E+01
5.60387E-03	8.09910E+01
5.62717E-03	8.15510E+01
5.67378E-03	8.26711E+01
5.72039E-03	8.41270E+01
5.74369E-03	8.48551E+01
5.76700E-03	8.57265E+01
