E(MeV)	"U-238(N,TOT)"
2.34507E-04	10.663
2.34830E-04	10.312
2.35191E-04	9.81976
2.35443E-04	9.41249
2.35675E-04	8.9643
2.35879E-04	8.51252
2.36026E-04	8.15946
2.36185E-04	7.75631
2.36314E-04	7.47323
2.36424E-04	7.40094
2.36508E-04	7.7174
2.36572E-04	8.59025
2.36631E-04	10.4197
2.36666E-04	12.4044
2.36697E-04	14.9357
2.36730E-04	18.8543
2.36756E-04	23.16
2.36785E-04	29.3986
2.36816E-04	38.1634
2.36852E-04	52.1918
2.36889E-04	71.0965
2.36924E-04	95.333
2.36960E-04	126.075
2.37002E-04	172.791
2.37048E-04	235.417
2.37113E-04	343.39
2.37231E-04	565.955
2.37321E-04	703.95
2.37384E-04	751.681
2.37481E-04	725.032
2.37608E-04	543.552
2.37765E-04	272.405
2.37841E-04	178.207
2.37915E-04	115.731
2.37961E-04	89.563
2.37999E-04	73.6533
2.38033E-04	62.633
2.38066E-04	54.6361
2.38104E-04	47.9
2.38141E-04	42.8595
2.38179E-04	39.0271
2.38220E-04	36.0474
2.38270E-04	33.3086
2.38328E-04	31.0012
2.38425E-04	28.3233
2.38547E-04	26.0251
2.38696E-04	24.0622
2.38828E-04	22.7874
2.39076E-04	21.0562
2.39438E-04	19.4168
2.39702E-04	18.5801
2.39970E-04	17.9357
2.40354E-04	17.2529
2.40761E-04	16.6974
2.41298E-04	16.1505
2.41757E-04	15.7983
2.41970E-04	15.6811
2.42087E-04	15.6769
2.42182E-04	15.7964
2.42277E-04	16.1441
2.42390E-04	17.0102
2.42669E-04	20.4147
2.42833E-04	20.4494
2.43099E-04	16.981
2.43218E-04	15.824
2.43327E-04	15.2694
2.43425E-04	15.0374
2.43535E-04	14.9226
2.43732E-04	14.8243
2.44302E-04	14.6184
2.45566E-04	14.2822
2.47357E-04	13.9272
2.51191E-04	13.4002
2.52746E-04	13.2251
2.53012E-04	13.2014
2.53138E-04	13.2034
2.53244E-04	13.2368
2.53352E-04	13.3512
2.53467E-04	13.6494
2.53618E-04	14.424
2.53885E-04	15.6871
2.54096E-04	14.9134
2.54325E-04	13.5808
2.54433E-04	13.2625
2.54538E-04	13.1136
2.54646E-04	13.0489
2.54769E-04	13.0176
2.55046E-04	12.9817
2.56038E-04	12.8783
2.56421E-04	12.8427
2.56566E-04	12.8396
2.56674E-04	12.8564
2.56791E-04	12.916
2.56984E-04	13.1426
2.57233E-04	13.3772
2.57457E-04	13.1347
2.57674E-04	12.8285
