E(MeV)	Hf-179
1.65011E-05	6.52095
1.65225E-05	6.58716
1.65396E-05	6.63779
1.65780E-05	6.76766
1.66165E-05	6.91592
1.66549E-05	7.0855
1.66763E-05	7.19352
1.66933E-05	7.2772
1.67318E-05	7.49459
1.67574E-05	7.65827
1.67830E-05	7.83912
1.67916E-05	7.90587
1.68086E-05	8.03594
1.68343E-05	8.25304
1.68599E-05	8.49518
1.68855E-05	8.76592
1.69079E-05	9.02956
1.69154E-05	9.1284
1.69368E-05	9.4057
1.69560E-05	9.68549
1.69752E-05	9.99287
1.69944E-05	10.3313
1.70008E-05	10.4558
1.70136E-05	10.7016
1.70329E-05	11.11
1.70521E-05	11.5639
1.70745E-05	12.1595
1.70862E-05	12.5073
1.70895E-05	12.6012
1.71044E-05	13.0813
1.71193E-05	13.608
1.71343E-05	14.1875
1.71492E-05	14.8269
1.71503E-05	14.8774
1.71642E-05	15.5307
1.71776E-05	16.2305
1.71896E-05	16.9125
1.72016E-05	17.6584
1.72135E-05	18.4764
1.72255E-05	19.3762
1.72297E-05	19.7309
1.72374E-05	20.3688
1.72494E-05	21.4681
1.72614E-05	22.6909
1.72720E-05	23.9034
1.72814E-05	25.0787
1.72908E-05	26.3702
1.73002E-05	27.7949
1.73049E-05	28.584
1.73096E-05	29.3755
1.73190E-05	31.1369
1.73284E-05	33.1067
1.73305E-05	33.6026
1.73355E-05	34.7467
1.73425E-05	36.545
1.73476E-05	37.9896
1.73502E-05	38.7137
1.73562E-05	40.5957
1.73579E-05	41.135
1.73656E-05	43.8495
1.73690E-05	45.1851
1.73713E-05	46.1069
1.73771E-05	48.5824
1.73818E-05	50.7951
1.73829E-05	51.2999
1.73886E-05	54.2968
1.73903E-05	55.2754
1.73944E-05	57.6074
1.73989E-05	60.4535
1.74002E-05	61.2693
1.74040E-05	63.9303
1.74053E-05	64.8984
1.74100E-05	68.4582
1.74117E-05	69.8799
1.74145E-05	72.197
1.74181E-05	75.4833
1.74189E-05	76.2591
1.74234E-05	80.6783
1.74245E-05	81.8204
1.74279E-05	85.4863
1.74296E-05	87.4763
1.74324E-05	90.7188
1.74347E-05	93.6976
1.74369E-05	96.4132
1.74399E-05	100.54
1.74414E-05	102.609
1.74450E-05	108.061
1.74459E-05	109.348
1.74501E-05	116.324
1.74503E-05	116.674
1.74544E-05	123.848
1.74552E-05	125.487
1.74595E-05	133.704
1.74604E-05	135.501
1.74646E-05	144.512
1.74655E-05	146.479
1.74698E-05	156.344
1.74706E-05	158.494
1.74749E-05	169.271
1.74757E-05	171.614
1.74800E-05	183.363
1.74809E-05	185.911
1.74847E-05	197.404
1.74851E-05	198.684
1.74890E-05	211.138
1.74903E-05	215.299
1.74933E-05	225.718
1.74948E-05	230.939
1.74975E-05	241.36
1.75005E-05	252.609
1.75018E-05	257.815
1.75061E-05	275.208
1.75063E-05	276.079
1.75103E-05	293.879
1.75121E-05	301.389
1.75146E-05	313.438
1.75178E-05	328.531
1.75189E-05	333.884
1.75232E-05	355.335
1.75236E-05	357.485
1.75296E-05	389.488
1.75304E-05	394.072
1.75360E-05	425.657
1.75372E-05	432.963
1.75424E-05	463.667
1.75441E-05	473.925
1.75488E-05	503.612
1.75560E-05	549.589
1.75637E-05	600.167
1.75753E-05	676.175
1.75800E-05	707.172
1.75923E-05	785.19
1.75970E-05	812.558
1.76000E-05	829.94
1.76064E-05	863.925
1.76075E-05	869.797
1.76149E-05	904.143
1.76153E-05	905.844
1.76220E-05	932.22
1.76240E-05	938.797
1.76288E-05	954.015
1.76322E-05	962.154
1.76356E-05	970.201
1.76384E-05	974.327
1.76425E-05	980.406
1.76452E-05	982.008
1.76497E-05	984.47
1.76529E-05	983.552
1.76555E-05	982.724
1.76596E-05	978.092
1.76623E-05	974.917
1.76664E-05	966.835
1.76684E-05	962.746
1.76695E-05	959.992
1.76739E-05	947.962
1.76756E-05	942.162
1.76807E-05	924.609
1.76826E-05	916.826
1.76880E-05	894.365
1.76905E-05	882.38
1.76957E-05	857.005
1.76987E-05	840.705
1.77038E-05	812.614
1.77072E-05	792.277
1.77124E-05	761.64
1.77166E-05	734.368
1.77269E-05	668.697
1.77284E-05	659.095
1.77405E-05	580.025
1.77474E-05	535.596
1.77563E-05	479.866
1.77619E-05	446.88
1.77627E-05	441.814
1.77696E-05	403.199
1.77747E-05	375.885
1.77764E-05	366.801
1.77833E-05	332.81
1.77833E-05	332.81
1.77888E-05	307.044
1.77918E-05	294.11
1.77952E-05	279.372
1.78003E-05	258.982
1.78016E-05	253.901
1.78059E-05	238.132
1.78080E-05	230.705
1.78102E-05	223.303
1.78144E-05	209.386
1.78157E-05	205.468
1.78187E-05	196.361
1.78234E-05	183.002
1.78285E-05	169.569
1.78311E-05	163.386
1.78336E-05	157.231
1.78388E-05	145.921
1.78439E-05	135.593
1.78456E-05	132.439
1.78490E-05	126.163
1.78541E-05	117.548
1.78541E-05	117.548
1.78593E-05	109.718
1.78627E-05	104.911
1.78635E-05	103.717
1.78687E-05	97.1201
1.78712E-05	94.1066
1.78738E-05	91.1118
1.78789E-05	85.6395
1.78798E-05	84.8055
1.78840E-05	80.6629
1.78883E-05	76.8733
1.78892E-05	76.1202
1.78943E-05	71.983
1.78969E-05	70.0866
1.78994E-05	68.2051
1.79045E-05	64.752
1.79097E-05	61.5772
1.79148E-05	58.6822
1.79208E-05	55.5871
1.79225E-05	54.7824
1.79272E-05	52.5914
1.79336E-05	49.8752
1.79353E-05	49.2143
1.79400E-05	47.4118
1.79438E-05	46.0624
1.79464E-05	45.1706
1.79528E-05	43.1252
1.79592E-05	41.242
1.79609E-05	40.784
1.79677E-05	38.974
1.79763E-05	36.9297
1.79780E-05	36.5584
1.79848E-05	35.0905
1.79932E-05	33.4574
1.79959E-05	32.9578
1.80015E-05	31.97
1.80070E-05	31.0484
1.80139E-05	30.0005
1.80181E-05	29.3535
1.80292E-05	27.8349
1.80378E-05	26.7746
1.80404E-05	26.4608
1.80515E-05	25.2219
1.80617E-05	24.1755
1.80626E-05	24.0895
1.80737E-05	23.0638
1.80869E-05	21.9459
1.80912E-05	21.6175
1.81001E-05	20.9395
1.81134E-05	20.0252
1.81262E-05	19.2137
1.81266E-05	19.1871
1.81399E-05	18.4295
1.81531E-05	17.7307
1.81612E-05	17.3344
1.81663E-05	17.0892
1.81844E-05	16.2998
1.81988E-05	15.7232
1.82138E-05	15.1756
