E(MeV)	"AL-27(N,TOT)"
9.72616E-03	1.04701
1.01340E-02	1.03243
1.06118E-02	1.0153
1.11742E-02	0.995135
1.12667E-02	0.991819
1.19995E-02	0.96555
1.29624E-02	0.931032
1.37705E-02	0.902068
1.38670E-02	0.898611
1.45642E-02	0.872154
1.53868E-02	0.840947
1.61949E-02	0.810289
1.70030E-02	0.779635
1.78111E-02	0.748237
1.84888E-02	0.721911
1.91566E-02	0.695974
1.98314E-02	0.669764
2.04085E-02	0.647355
2.07859E-02	0.632704
2.09325E-02	0.627439
2.14781E-02	0.607855
2.19347E-02	0.591465
2.22915E-02	0.580071
2.27644E-02	0.564975
2.28374E-02	0.562643
2.32206E-02	0.552472
2.35618E-02	0.543421
2.37026E-02	0.540527
2.40308E-02	0.533787
2.41355E-02	0.531639
2.41851E-02	0.530624
2.42099E-02	0.530411
2.42146E-02	0.530372
2.42285E-02	0.53087
2.42425E-02	0.531372
2.42502E-02	0.531656
2.42518E-02	0.531973
2.42588E-02	0.533406
2.42630E-02	0.534287
2.42634E-02	0.534492
2.42677E-02	0.536759
2.42706E-02	0.53831
2.42710E-02	0.538517
2.42725E-02	0.540271
2.42745E-02	0.542467
2.42756E-02	0.543733
2.42759E-02	0.544459
2.42774E-02	0.547577
2.42783E-02	0.54966
2.42793E-02	0.553227
2.42802E-02	0.556443
2.42803E-02	0.557002
2.42810E-02	0.561197
2.42816E-02	0.564418
2.42817E-02	0.565807
2.42825E-02	0.571768
2.42825E-02	0.572166
2.42829E-02	0.577005
2.42834E-02	0.582386
2.42835E-02	0.582925
2.42839E-02	0.589527
2.42844E-02	0.596869
2.42844E-02	0.597605
2.42849E-02	0.606254
2.42852E-02	0.612027
2.42854E-02	0.616864
2.42857E-02	0.625945
2.42859E-02	0.630184
2.42861E-02	0.636253
2.42865E-02	0.647641
2.42866E-02	0.652956
2.42868E-02	0.66025
2.42871E-02	0.671195
2.42872E-02	0.674354
2.42875E-02	0.690158
2.42876E-02	0.692269
2.42879E-02	0.708036
2.42881E-02	0.716534
2.42883E-02	0.727667
2.42886E-02	0.744385
2.42886E-02	0.749159
2.42890E-02	0.77303
2.42891E-02	0.77622
2.42893E-02	0.797963
2.42895E-02	0.812476
2.42897E-02	0.82491
2.42900E-02	0.853954
2.42901E-02	0.860184
2.42904E-02	0.88611
2.42906E-02	0.906162
2.42907E-02	0.920666
2.42910E-02	0.957621
2.42914E-02	0.998791
2.42915E-02	1.01498
2.42917E-02	1.04269
2.42920E-02	1.07859
2.42921E-02	1.08936
2.42924E-02	1.13975
2.42925E-02	1.14876
2.42927E-02	1.19418
2.42929E-02	1.22581
2.42931E-02	1.25168
2.42934E-02	1.30995
2.42934E-02	1.31227
2.42939E-02	1.40133
2.42939E-02	1.41144
2.42943E-02	1.50002
2.42944E-02	1.51901
2.42948E-02	1.606
2.42948E-02	1.61068
2.42952E-02	1.70893
2.42954E-02	1.74992
2.42959E-02	1.86437
2.42960E-02	1.90465
2.42965E-02	2.03052
2.42966E-02	2.06936
2.42971E-02	2.20713
2.42974E-02	2.30234
2.42980E-02	2.47491
2.42985E-02	2.64304
2.43002E-02	3.18106
2.43004E-02	3.2422
2.43012E-02	3.47355
2.43013E-02	3.49472
2.43021E-02	3.71725
2.43021E-02	3.71936
2.43026E-02	3.85292
2.43028E-02	3.89741
2.43032E-02	3.98195
2.43035E-02	4.03826
2.43039E-02	4.09369
2.43041E-02	4.139
2.43045E-02	4.18049
2.43048E-02	4.21435
2.43051E-02	4.24094
2.43054E-02	4.26261
2.43057E-02	4.27204
2.43061E-02	4.28307
2.43061E-02	4.28307
