E(MeV)	j33-k300/In115K3:1
6.2866E-06	8.01823
6.37796E-06	7.94803
6.51811E-06	7.87021
6.5435E-06	7.85611
6.7065E-06	7.80029
6.79015E-06	7.79067
6.8695E-06	7.78154
7.01213E-06	7.7998
7.15288E-06	7.85602
7.15475E-06	7.85677
7.29738E-06	7.9611
7.40434E-06	8.07947
7.49094E-06	8.20729
7.59281E-06	8.40331
7.66922E-06	8.59078
7.74563E-06	8.82187
7.75837E-06	8.86954
7.82203E-06	9.10754
7.8857E-06	9.39779
7.94301E-06	9.70933
8.00031E-06	10.0793
8.05762E-06	10.5215
8.09582E-06	10.8655
8.13402E-06	11.257
8.17859E-06	11.7852
8.2168E-06	12.3114
0.000008255	12.9195
8.2932E-06	13.6266
8.31867E-06	14.1637
8.34414E-06	14.7624
8.36897E-06	15.4146
8.39317E-06	16.1254
8.40943E-06	16.6611
8.41736E-06	16.9223
8.44156E-06	17.8196
8.46575E-06	18.8346
8.48995E-06	19.9887
8.5081E-06	20.9613
8.52624E-06	22.0404
8.54439E-06	23.2424
8.56445E-06	24.7373
8.57845E-06	25.9014
8.59246E-06	27.1789
8.60647E-06	28.5852
8.62048E-06	30.1386
8.63448E-06	31.8605
8.64849E-06	33.7769
8.6625E-06	35.9188
8.67269E-06	37.6395
8.68288E-06	39.5165
8.69306E-06	41.5701
8.70325E-06	43.8239
8.71344E-06	46.3058
8.72363E-06	49.0492
8.73381E-06	52.0938
0.000008744	55.488
8.75419E-06	59.2907
8.76183E-06	62.4535
8.76947E-06	65.9232
8.77711E-06	69.7428
8.78475E-06	73.9637
8.79239E-06	78.6465
8.80003E-06	83.8634
8.80767E-06	89.7003
8.81531E-06	96.2592
8.82041E-06	101.092
8.82728E-06	108.283
8.83263E-06	114.473
8.83798E-06	121.253
8.84333E-06	128.69
8.84868E-06	136.861
8.85403E-06	145.85
8.85937E-06	155.748
8.86472E-06	166.656
8.87007E-06	178.682
8.87542E-06	191.941
8.88077E-06	206.557
8.8851E-06	219.472
8.89019E-06	236.009
8.89528E-06	254.111
8.90038E-06	273.898
8.90547E-06	295.488
8.91057E-06	318.996
8.91566E-06	344.531
8.92075E-06	372.193
8.92559E-06	400.521
8.93018E-06	429.256
8.93476E-06	459.876
8.93935E-06	492.401
8.94622E-06	544.764
8.9531E-06	601.337
8.95998E-06	661.914
8.96762E-06	733.498
8.97526E-06	808.915
8.99054E-06	967.332
9.00582E-06	1127.12
9.01601E-06	1228.11
9.02365E-06	1297.98
9.03129E-06	1360.86
9.03893E-06	1415.07
9.04708E-06	1461.65
9.05268E-06	1486.16
9.05828E-06	1504.09
9.06389E-06	1515.17
0.00000907	1519.23
9.07688E-06	1513.74
9.08375E-06	1497.73
9.08834E-06	1481.4
9.09547E-06	1447.51
9.1026E-06	1404.07
9.10973E-06	1352.16
9.11686E-06	1293.06
9.12705E-06	1198.87
9.13122E-06	1157.11
9.13724E-06	1096.95
9.16245E-06	836.74
9.17213E-06	741.819
9.17939E-06	674.472
9.18665E-06	611.072
9.19391E-06	552.014
9.19887E-06	514.232
9.20397E-06	477.742
9.20906E-06	443.547
9.21415E-06	411.623
9.21925E-06	381.923
9.22434E-06	354.38
9.22943E-06	328.912
9.23453E-06	305.423
9.23962E-06	283.81
9.24472E-06	263.961
9.24981E-06	245.764
9.2549E-06	229.105
9.26E-06	213.869
9.26509E-06	199.946
9.27018E-06	187.228
9.27528E-06	175.614
9.28024E-06	165.261
9.28508E-06	156.012
9.28992E-06	147.52
9.29476E-06	139.716
9.2996E-06	132.539
9.30444E-06	125.93
9.3117E-06	116.968
9.31896E-06	109.012
9.32622E-06	101.923
9.33347E-06	95.5844
9.34073E-06	89.8956
9.34799E-06	84.7707
9.35525E-06	80.1365
9.36289E-06	75.7202
9.37053E-06	71.7171
9.37817E-06	68.075
9.38581E-06	64.7498
0.000009396	60.7451
9.40619E-06	57.1634
9.41638E-06	53.9443
9.42656E-06	51.0381
9.43675E-06	48.4036
9.44796E-06	45.7787
9.45916E-06	43.403
9.47037E-06	41.2448
9.48158E-06	39.2774
9.49278E-06	37.4781
9.50959E-06	35.0531
9.5264E-06	32.9099
9.54321E-06	31.0053
9.56002E-06	29.3043
9.57683E-06	27.7782
9.59364E-06	26.4032
9.61045E-06	25.1596
9.62726E-06	24.0309
9.64654E-06	22.878
9.65247E-06	22.5231
9.67361E-06	21.4056
9.69908E-06	20.209
9.72455E-06	19.1518
9.75002E-06	18.2126
9.77548E-06	17.3743
9.80095E-06	16.6227
9.82642E-06	15.9462
9.86463E-06	15.051
9.90283E-06	14.2761
9.94103E-06	13.6005
9.97923E-06	13.0078
1.00174E-05	12.4848
1.00684E-05	11.8779
1.01228E-05	11.3235
1.01618E-05	10.9821
1.01772E-05	10.8479
1.02316E-05	10.4368
1.0286E-05	10.0791
1.03586E-05	9.67032
1.04242E-05	9.35566
1.04899E-05	9.08443
1.05775E-05	8.77872
1.06127E-05	8.67726
1.06651E-05	8.52602
1.07526E-05	8.31777
1.08402E-05	8.14821
1.09278E-05	8.01393
1.09508E-05	7.98768
1.10154E-05	7.91385
1.11292E-05	7.83783
1.11993E-05	7.82624
1.12623E-05	7.84443
1.12637E-05	7.84553
1.13254E-05	7.8972
1.13884E-05	7.99612
1.14357E-05	8.11153
1.14638E-05	8.20464
1.14708E-05	8.22761
1.15093E-05	8.39497
1.15478E-05	8.61763
1.15767E-05	8.83318
1.16056E-05	9.10423
1.16293E-05	9.37983
1.16529E-05	9.71876
1.1664E-05	9.90914
1.16687E-05	9.98928
1.16844E-05	10.3042
1.17002E-05	10.6734
1.1716E-05	11.1094
1.17278E-05	11.4898
1.17405E-05	11.9598
1.17536E-05	12.526
1.17668E-05	13.1903
1.17755E-05	13.6973
1.17843E-05	14.2634
1.1793E-05	14.8961
1.18018E-05	15.6035
1.18106E-05	16.3943
1.18193E-05	17.2777
