MeV	Cl-nat
1.50076E-02	3.94124
1.50372E-02	3.69179
1.51025E-02	3.20633
1.51516E-02	2.88424
1.51886E-02	2.66447
1.52442E-02	2.3661
1.52930E-02	2.13388
1.53000E-02	2.10923
1.53067E-02	2.10182
1.53084E-02	2.10162
1.59937E-02	2.20055
1.60000E-02	2.21331
1.60047E-02	2.23612
1.60373E-02	2.46568
1.60498E-02	2.55612
1.60872E-02	2.85868
1.61136E-02	3.09353
1.61576E-02	3.52815
1.62000E-02	3.99663
1.62499E-02	4.47412
1.62937E-02	4.92974
1.62984E-02	4.95985
1.63000E-02	4.96344
1.63047E-02	4.95264
1.63187E-02	4.84314
1.63500E-02	4.58327
1.64000E-02	4.20445
1.64997E-02	3.66734
1.66000E-02	3.19654
1.66498E-02	2.88108
1.66872E-02	2.66225
1.67435E-02	2.36506
1.67947E-02	2.12707
1.68000E-02	2.11307
1.68026E-02	2.11139
1.68105E-02	2.12127
1.68500E-02	2.20065
1.68914E-02	2.28392
1.68967E-02	2.30364
1.69000E-02	2.32813
1.69002E-02	2.32936
1.69037E-02	2.36872
1.69090E-02	2.44669
1.69172E-02	2.58836
1.69316E-02	2.84912
1.69412E-02	3.03722
1.69507E-02	3.23718
1.69630E-02	3.51659
1.69784E-02	3.90052
1.69877E-02	4.15101
1.69938E-02	4.33313
1.69969E-02	4.43931
1.70000E-02	4.56737
1.70035E-02	4.7453
1.70070E-02	4.9548
1.70116E-02	5.26501
1.70186E-02	5.7698
1.70255E-02	6.32328
1.70325E-02	6.92941
1.70391E-02	7.55712
1.70449E-02	8.16266
1.70508E-02	8.81732
1.70567E-02	9.52775
1.70625E-02	10.2964
1.70684E-02	11.1196
1.70743E-02	12.0179
1.70802E-02	12.9926
1.70862E-02	14.0492
1.70941E-02	15.5239
1.70970E-02	16.0091
1.71000E-02	16.3779
1.71029E-02	16.6011
1.71059E-02	16.7033
1.71078E-02	16.7273
1.71234E-02	16.6598
1.71937E-02	16.2195
1.71976E-02	16.137
1.72000E-02	16.0372
1.72015E-02	15.9741
1.72054E-02	15.7256
1.72249E-02	14.1574
1.72367E-02	13.2824
1.72484E-02	12.4681
1.72660E-02	11.3347
1.72769E-02	10.6807
1.72932E-02	9.75959
1.72970E-02	9.5037
