E(MeV)	B10 Tot			
1.21000E+01	1.48511			
1.21080E+01	1.48506			
1.22000E+01	1.48449			
1.23000E+01	1.4838			
1.25000E+01	1.48255			
1.26000E+01	1.48228			
1.26580E+01	1.48203			
1.27000E+01	1.48182			
1.28000E+01	1.48132			
1.30000E+01	1.48125			
1.31834E+01	1.479			
1.32000E+01	1.47879			
1.32090E+01	1.47866			
1.33000E+01	1.47713			
1.34000E+01	1.4754			
1.34477E+01	1.47456			
1.35000E+01	1.47385			
1.37000E+01	1.47162			
1.37590E+01	1.47091			
1.38000E+01	1.4705			
1.38836E+01	1.46984			
1.39000E+01	1.46971			
1.40000E+01	1.46895			
1.40988E+01	1.46827			
1.43000E+01	1.46691			
1.43100E+01	1.46683			
1.44000E+01	1.46623			
1.45000E+01	1.46547			
1.46143E+01	1.4647			
