TOF,usX	Sigma,barn
36.56	5.70267
36.6	5.72365
36.64	5.74149
36.68	5.76304
36.72	5.80679
36.76	5.87016
36.8	5.93383
36.84	5.99689
36.88	6.06068
36.92	6.12468
36.96	6.18938
37	6.25549
37.04	6.36729
37.08	6.56468
37.12	6.91976
37.16	7.71229
37.2	9.54464
37.24	28.6735
37.28	114.22
37.32	32.0941
37.36	5.91483
37.4	5.54209
37.44	5.9598
37.48	6.6237
37.52	8.10239
37.56	23.3324
37.6	113.953
37.64	46.8339
37.68	6.83215
37.72	4.56688
37.76	4.61162
37.8	4.73407
37.84	4.84906
37.88	4.94958
37.92	5.04505
37.96	5.15295
38	5.33908
38.04	6.50216
38.08	17.3577
38.12	15.5152
38.16	5.64912
38.2	5.09654
38.24	5.14534
38.28	5.19847
38.32	5.24148
38.36	5.27945
38.4	5.31466
38.44	5.3484
38.48	5.38187
38.52	5.41541
38.56	5.44922
38.6	5.48351
38.64	5.51809
38.68	5.55093
38.72	5.58098
38.76	5.61744
38.8	5.67182
38.84	5.73561
38.88	5.79992
38.92	5.86434
38.96	5.92883
39	5.99354
39.04	6.05889
39.08	6.12361
39.12	6.20539
39.16	6.33474
39.2	6.51081
39.24	6.75642
39.28	7.11715
39.32	7.71893
39.36	9.0043
39.4	14.3033
39.44	44.4216
39.48	101.481
39.52	181.629
39.56	44.8898
39.6	7.24157
39.64	4.28666
39.68	4.19727
39.72	4.29297
39.76	4.40303
39.8	4.49964
39.84	4.58623
39.88	4.65725
39.92	4.70467
39.96	4.74584
40	4.788
40.04	4.83036
40.08	4.87298
40.12	4.91589
40.16	4.95897
40.2	5.00228
40.24	5.04482
40.28	5.08086
40.32	5.11019
40.36	5.13772
40.4	5.16634
40.44	5.19566
40.48	5.22506
40.52	5.2539
40.56	5.28172
40.6	5.31032
40.64	5.34295
40.68	5.38256
40.72	5.43139
40.76	5.49471
40.8	5.58658
40.84	5.76868
40.88	6.05565
40.92	7.17691
40.96	17.7199
41	48.0839
41.04	23.0218
41.08	6.23217
41.12	5.06227
41.16	5.06485
41.2	5.11458
41.24	5.16094
41.28	5.20406
41.32	5.24519
41.36	5.28761
41.4	5.3351
41.44	5.39181
41.48	5.48045
41.52	5.66052
41.56	6.47395
41.6	13.3588
41.64	29.6015
41.68	14.712
41.72	5.89194
41.76	5.1952
41.8	5.20073
41.84	5.23893
41.88	5.27108
41.92	5.29895
41.96	5.32472
42	5.34964
42.04	5.37397
42.08	5.3981
42.12	5.42274
42.16	5.44879
42.2	5.47795
42.24	5.51222
42.28	5.55042
42.32	5.60093
42.36	5.66436
42.4	5.77994
42.44	5.97456
42.48	6.20684
42.52	6.86287
42.56	9.22208
42.6	21.1511
42.64	35.8447
42.68	18.9517
42.72	7.56785
42.76	5.835
42.8	5.48377
42.84	5.43254
42.88	5.4112
42.92	5.41712
42.96	5.43712
43	5.45962
43.04	5.48459
43.08	5.51069
43.12	5.53973
43.16	5.57403
43.2	5.61116
43.24	5.64933
43.28	5.69678
43.32	5.75426
43.36	5.83035
43.4	5.96245
43.44	6.22465
43.48	6.56761
43.52	7.48528
43.56	12.251
43.6	37.1616
43.64	54.8529
43.68	20.6709
43.72	6.5765
43.76	5.41077
43.8	5.40464
43.84	5.48233
43.88	5.6106
43.92	5.79602
43.96	6.35355
44	9.45954
44.04	26.7398
44.08	41.0664
44.12	17.0326
44.16	6.47929
44.2	5.29019
44.24	5.22673
44.28	5.26619
44.32	5.31054
44.36	5.35511
44.4	5.40399
44.44	5.45999
44.48	5.53562
44.52	5.67534
44.56	6.34734
44.6	10.8026
44.64	24.7234
44.68	20.8423
44.72	8.00183
44.76	5.51435
44.8	5.31987
44.84	5.33866
44.88	5.36925
44.92	5.39551
44.96	5.41852
45	5.44012
45.04	5.46126
45.08	5.48188
45.12	5.5021
45.16	5.52285
45.2	5.54565
45.24	5.57014
45.28	5.59457
45.32	5.62124
45.36	5.65368
45.4	5.69178
45.44	5.74446
45.48	5.84199
45.52	6.00886
45.56	6.24026
45.6	7.12365
45.64	12.138
45.68	32.7039
45.72	40.6854
45.76	16.5818
45.8	6.78868
45.84	5.52129
45.88	5.40781
45.92	5.41973
45.96	5.44356
46	5.46661
46.04	5.4878
46.08	5.50751
46.12	5.52591
46.16	5.54272
46.2	5.55928
46.24	5.57568
46.28	5.59122
46.32	5.60613
46.36	5.62098
46.4	5.63599
46.44	5.65126
46.48	5.66719
46.52	5.68474
46.56	5.70749
46.6	5.73885
46.64	5.77889
46.68	5.9055
46.72	6.63799
46.76	9.60501
46.8	11.1119
46.84	7.67006
46.88	5.96835
46.92	5.75303
46.96	5.74844
47	5.76307
47.04	5.77882
47.08	5.79402
47.12	5.80893
47.16	5.82367
47.2	5.83855
47.24	5.85387
47.28	5.86985
47.32	5.88643
47.36	5.90349
47.4	5.92089
47.44	5.9385
47.48	5.95618
47.52	5.97374
47.56	5.99075
47.6	6.00681
47.64	6.02264
47.68	6.041
47.72	6.06474
47.76	6.09364
47.8	6.12388
47.84	6.15418
47.88	6.18453
47.92	6.21494
47.96	6.24541
48	6.27598
48.04	6.30676
48.08	6.33763
48.12	6.36832
48.16	6.4029
48.2	6.45195
48.24	6.51796
48.28	6.5979
48.32	6.70731
48.36	6.85871
48.4	7.11975
48.44	7.48714
48.48	8.04234
48.52	10.3879
48.56	23.3863
48.6	69.4056
48.64	97.1733
48.68	48.3012
48.72	13.041
48.76	6.81217
48.8	6.2909
48.84	7.14338
48.88	11.4337
48.92	17.2825
48.96	13.6236
49	7.89492
49.04	6.57262
49.08	6.71798
49.12	7.90806
49.16	13.9598
49.2	26.7867
49.24	25.7233
49.28	12.6132
49.32	7.26728
49.36	6.47007
49.4	6.42222
49.44	6.47577
49.48	6.53916
49.52	6.60518
49.56	6.67206
49.6	6.74101
49.64	6.81226
49.68	6.88663
49.72	6.96609
49.76	7.05305
49.8	7.14991
49.84	7.25372
49.88	7.3752
49.92	7.51232
49.96	7.6752
50	7.91765
50.04	8.30187
50.08	8.84497
50.12	10.1242
50.16	13.9009
50.2	28.3722
50.24	65.1134
50.28	82.6863
50.32	47.9488
50.36	18.1867
50.4	10.287
50.44	8.61552
50.48	8.34139
50.52	8.40313
50.56	8.50225
50.6	8.64001
50.64	8.84226
50.68	9.08014
50.72	9.34417
50.76	9.63904
50.8	9.9687
50.84	10.3373
50.88	10.7539
50.92	11.2427
