E(MeV)	Si-nat			
3.170490E-02	1.75521			
3.171500E-02	1.75612			
3.171900E-02	1.75632			
3.172420E-02	1.75522			
3.172810E-02	1.75471			
3.173070E-02	1.75471			
3.173340E-02	1.75502			
3.174000E-02	1.75633			
3.174200E-02	1.75639			
3.174400E-02	1.75605			
3.174590E-02	1.75697			
3.174780E-02	1.75737			
3.174960E-02	1.75723			
3.175150E-02	1.75655			
3.175250E-02	1.75592			
3.175340E-02	1.75643			
3.175520E-02	1.75704			
3.175710E-02	1.75716			
3.175900E-02	1.75681			
3.176090E-02	1.75599			
3.176100E-02	1.7559			
3.176270E-02	1.75666			
3.176460E-02	1.75704			
3.176650E-02	1.75703			
3.176930E-02	1.75648			
3.177470E-02	1.75491			
3.177740E-02	1.75441			
3.178020E-02	1.75424			
3.178500E-02	1.75442			
3.179050E-02	1.75477			
3.179260E-02	1.75504			
3.179390E-02	1.75532			
3.179500E-02	1.75564			
3.179530E-02	1.75545			
3.179650E-02	1.75486			
3.179750E-02	1.75445			
3.179850E-02	1.75414			
3.179950E-02	1.75392			
3.180050E-02	1.75381			
3.180120E-02	1.75378			
3.180200E-02	1.75381			
3.180280E-02	1.75389			
3.180350E-02	1.75402			
3.180420E-02	1.75419			
3.180500E-02	1.75441			
3.180570E-02	1.75466			
3.180650E-02	1.75496			
3.180750E-02	1.7554			
3.180780E-02	1.75553			
3.180850E-02	1.75528			
3.180950E-02	1.75499			
3.181050E-02	1.75475			
3.181150E-02	1.75455			
3.181270E-02	1.75435			
3.181370E-02	1.75421			
3.181470E-02	1.7541			
3.181600E-02	1.75399			
3.181740E-02	1.75391			
3.181870E-02	1.75386			
3.182010E-02	1.75383			
3.182210E-02	1.75382			
3.182410E-02	1.75385			
3.182680E-02	1.75391			
3.183080E-02	1.75403			
3.184020E-02	1.75436			
3.184430E-02	1.75452			
3.184690E-02	1.75463			
3.184960E-02	1.75475			
3.185230E-02	1.75489			
3.185430E-02	1.75501			
3.185500E-02	1.75505			
3.185610E-02	1.75501			
3.185830E-02	1.75494			
3.186050E-02	1.75488			
3.186380E-02	1.75481			
3.186710E-02	1.75476			
3.187260E-02	1.75468			
3.212380E-02	1.75181			
3.213260E-02	1.75172			
3.213860E-02	1.75166			
3.214640E-02	1.75159			
3.233080E-02	1.75025			
3.234060E-02	1.75017			
3.234410E-02	1.75014			
3.355060E-02	1.73886			
3.365100E-02	1.73792			
3.508870E-02	1.72526			
3.598500E-02	1.71736			
3.661010E-02	1.71179			
3.724020E-02	1.65043			
3.724810E-02	1.64967			
3.725580E-02	1.64894			
3.726710E-02	1.64787			
3.748170E-02	1.62781			
3.748920E-02	1.62711			
3.749830E-02	1.62629			
3.751410E-02	1.62489			
3.765140E-02	1.61283			
3.766200E-02	1.61188			
3.767340E-02	1.61084			
3.774160E-02	1.60451			
3.774870E-02	1.60384			
3.775300E-02	1.60341			
3.775930E-02	1.60277			
3.776560E-02	1.6021			
3.783470E-02	1.59463			
3.784050E-02	1.594			
3.784720E-02	1.59335			
3.785350E-02	1.59274			
3.794770E-02	1.58376			
3.795970E-02	1.58263			
3.803800E-02	1.57537			
3.811980E-02	1.58546			
3.812840E-02	1.58653			
3.813270E-02	1.58707			
3.813700E-02	1.58762			
3.814180E-02	1.58825			
3.814660E-02	1.58889			
