E(MeV)	pendfb7/Gd152:1	
1.194E-05	108.669579	
1.195E-05	111.036805	
1.195E-05	113.707913	
1.196E-05	119.310553	
1.197E-05	124.674192	
1.197E-05	125.579417	
1.198E-05	131.758314	
1.199E-05	137.72	
1.200E-05	142.64416	
1.200E-05	144.281357	
1.201E-05	151.517386	
1.202E-05	159.540435	
1.203E-05	168.470669	
1.204E-05	178.454203	
1.204E-05	182.192882	
1.205E-05	189.686331	
1.205E-05	200.20857	
1.206E-05	201.264069	
1.206E-05	213.053789	
1.206E-05	216.344984	
1.207E-05	226.245591	
1.207E-05	228.466705	
1.208E-05	241.087996	
1.208E-05	241.911862	
1.208E-05	253.480298	
1.208E-05	254.386679	
1.209E-05	265.29335	
1.209E-05	267.11633	
1.209E-05	277.140425	
1.209E-05	282.16823	
1.210E-05	289.930467	
1.210E-05	298.831015	
1.210E-05	303.751807	
1.211E-05	314.857853	
1.211E-05	317.333016	
1.211E-05	326.934832	
1.211E-05	337.941517	
1.211E-05	339.465085	
1.212E-05	353.215344	
1.212E-05	359.347613	
1.212E-05	368.666922	
1.212E-05	380.564531	
1.212E-05	383.121279	
1.212E-05	393.498404	
1.213E-05	406.742868	
1.213E-05	409.589555	
1.213E-05	421.158401	
1.213E-05	435.926275	
1.213E-05	439.10036	
1.213E-05	452.015517	
1.214E-05	468.50307	
1.214E-05	472.047645	
1.214E-05	484.991289	
1.214E-05	499.271268	
1.214E-05	500.675752	
1.214E-05	517.577385	
1.215E-05	528.878095	
1.215E-05	534.99147	
1.215E-05	553.385879	
1.215E-05	561.074404	
1.215E-05	572.71734	
1.215E-05	592.738041	
1.215E-05	596.084484	
1.216E-05	614.288132	
1.216E-05	635.286089	
1.216E-05	639.864714	
1.216E-05	656.881136	
1.216E-05	678.96589	
1.216E-05	688.026526	
1.216E-05	702.323755	
1.217E-05	738.74854	
1.217E-05	740.966412	
1.217E-05	778.471642	
1.217E-05	799.131113	
1.217E-05	820.323185	
1.218E-05	857.229334	
1.218E-05	862.90403	
1.218E-05	897.044646	
1.218E-05	932.771994	
1.218E-05	936.548529	
1.218E-05	976.631442	
1.218E-05	1015.85591	
1.218E-05	1016.93796	
1.219E-05	1060.54779	
1.219E-05	1085.38582	
1.219E-05	1121.21539	
1.219E-05	1160.01131	
1.219E-05	1179.94658	
1.220E-05	1235.99104	
1.220E-05	1240.00997	
1.220E-05	1295.61809	
1.220E-05	1325.67574	
1.220E-05	1357.61361	
1.220E-05	1417.18997	
1.220E-05	1446.34839	
1.221E-05	1514.72203	
1.221E-05	1535.68912	
1.221E-05	1630.46587	
1.221E-05	1672.79109	
1.221E-05	1730.10827	
1.222E-05	1833.74254	
1.222E-05	1845.31113	
1.222E-05	1945.03257	
1.222E-05	2032.67432	
1.222E-05	2059.51364	
1.223E-05	2180.78859	
1.223E-05	2234.91788	
1.223E-05	2306.9985	
1.224E-05	2451.83833	
1.224E-05	2482.51029	
1.224E-05	2628.85478	
1.224E-05	2682.99835	
1.224E-05	2797.7408	
1.225E-05	3011.86298	
1.225E-05	3029.25223	
1.225E-05	3274.00793	
1.226E-05	3361.84067	
1.226E-05	3527.15531	
1.226E-05	3785.40173	
1.226E-05	3822.46346	
1.227E-05	4183.96612	
1.228E-05	4585.24372	
1.229E-05	4968.5502	
1.230E-05	5514.59796	
1.231E-05	5817.23724	
1.231E-05	5833.95937	
1.231E-05	6108.76881	
1.231E-05	6176.59761	
1.232E-05	6345.85309	
1.232E-05	6472.47495	
1.233E-05	6542.87315	
1.233E-05	6653.86609	
1.233E-05	6679.72467	
1.234E-05	6795.7947	
1.234E-05	6806.82366	
1.234E-05	6871.94644	
1.234E-05	6878.85169	
1.235E-05	6911.05614	
1.235E-05	6910.09619	
1.236E-05	6901.6588	
1.236E-05	6899.97719	
1.236E-05	6854.74169	
1.236E-05	6838.08032	
1.237E-05	6772.36199	
1.237E-05	6694.8981	
1.237E-05	6664.13045	
1.238E-05	6549.53923	
1.238E-05	6516.36837	
1.238E-05	6347.4919	
1.238E-05	6326.28207	
1.239E-05	6094.54007	
1.239E-05	6079.56809	
