E(MeV)	"ENDF/B-VIII.b5: SE-82(N,TOT)"	
6.41757E-03	0.268499	
6.41882E-03	0.289515	
6.42047E-03	0.319445	
6.42213E-03	0.351594	
6.42358E-03	0.38164	
6.42434E-03	0.398361	
6.42503E-03	0.413589	
6.42648E-03	0.447532	
6.42792E-03	0.483533	
6.42937E-03	0.521693	
6.42986E-03	0.535204	
6.43096E-03	0.566135	
6.43262E-03	0.615581	
6.43427E-03	0.668312	
6.43538E-03	0.705781	
6.43593E-03	0.72454	
6.43758E-03	0.784483	
6.43924E-03	0.848303	
6.43952E-03	0.859623	
6.44090E-03	0.916285	
6.44255E-03	0.988618	
6.44421E-03	1.06554	
6.44586E-03	1.14743	
6.44752E-03	1.23453	
6.44918E-03	1.32791	
6.44959E-03	1.35128	
6.45166E-03	1.47736	
6.45373E-03	1.61317	
6.45414E-03	1.64244	
6.45580E-03	1.75966	
6.45787E-03	1.91764	
6.45794E-03	1.92331	
6.45991E-03	2.08519	
6.46173E-03	2.24721	
6.46192E-03	2.26404	
6.46394E-03	2.45656	
6.46553E-03	2.61944	
6.46596E-03	2.66373	
6.46798E-03	2.88711	
6.46932E-03	3.04777	
6.47002E-03	3.13146	
6.47213E-03	3.40265	
6.47293E-03	3.51439	
6.47423E-03	3.6961	
6.47633E-03	4.01372	
6.47653E-03	4.04647	
6.47843E-03	4.35783	
6.48013E-03	4.65968	
6.48053E-03	4.73076	
6.48254E-03	5.11673	
6.48373E-03	5.3647	
6.48455E-03	5.53395	
6.48655E-03	5.98379	
6.48856E-03	6.47446	
6.48936E-03	6.68567	
6.49057E-03	7.00448	
6.49218E-03	7.4645	
6.49262E-03	7.59093	
6.49469E-03	8.23488	
6.49499E-03	8.33778	
6.49676E-03	8.9368	
6.49781E-03	9.32471	
