E(MeV)	"GA-71(N,TOT)"
2.80636E-04	1095.09
2.80854E-04	1164.09
2.80870E-04	1169.45
2.81088E-04	1244.74
2.81104E-04	1250.6
2.81322E-04	1332.83
2.81338E-04	1339.24
2.81556E-04	1429.13
2.81572E-04	1436.14
2.81790E-04	1534.48
2.81805E-04	1542.14
2.82024E-04	1649.77
2.82039E-04	1658.16
2.82257E-04	1775.95
2.82273E-04	1785.13
2.82491E-04	1914.02
2.82507E-04	1924.05
2.82725E-04	2064.94
2.82741E-04	2075.89
2.82959E-04	2229.66
2.82974E-04	2241.59
2.83193E-04	2409.01
2.83208E-04	2421.96
2.83427E-04	2603.62
2.83442E-04	2617.6
2.83660E-04	2813.78
2.83676E-04	2828.79
2.83894E-04	3039.38
2.83988E-04	3136.13
2.84206E-04	3362.38
2.84299E-04	3465.5
2.84518E-04	3706.52
2.85235E-04	4522.94
2.85297E-04	4593.74
2.85546E-04	4854.56
2.85578E-04	4887.04
2.85780E-04	5074.55
2.85811E-04	5103.25
2.86014E-04	5260
2.86045E-04	5283.93
2.86248E-04	5404.4
2.86258E-04	5410.36
2.86412E-04	5474.7
2.86429E-04	5481.79
2.86583E-04	5520.47
2.86599E-04	5524.51
2.86672E-04	5530.39
2.86762E-04	5537.35
2.86834E-04	5531.48
2.86918E-04	5524.07
2.87043E-04	5494.09
2.87074E-04	5486.42
2.87199E-04	5437.57
2.87230E-04	5425.19
2.87433E-04	5310.87
2.87464E-04	5293.1
2.87666E-04	5142.49
2.87698E-04	5119.2
2.87822E-04	5008.83
2.87931E-04	4911.88
2.88134E-04	4709.76
2.88220E-04	4624
2.89011E-04	3772.2
2.89167E-04	3604.6
2.89303E-04	3466.22
2.89482E-04	3284.73
2.89595E-04	3177.96
2.89786E-04	2998.02
2.89880E-04	2916.55
2.90067E-04	2754.08
2.90161E-04	2679.42
2.90348E-04	2530.54
2.90441E-04	2462.53
2.90628E-04	2326.95
2.90722E-04	2265.27
2.90909E-04	2142.25
2.91096E-04	2030.85
2.91189E-04	1975.3
2.91376E-04	1873.52
2.91408E-04	1856.62
2.91626E-04	1747.03
2.91657E-04	1732.53
2.91844E-04	1645.84
2.91938E-04	1605.69
2.92062E-04	1552.33
2.92218E-04	1490.52
2.92281E-04	1465.88
2.92499E-04	1385.89
2.92499E-04	1385.89
2.92717E-04	1311.91
2.92795E-04	1287.36
2.92935E-04	1243.31
2.93013E-04	1220.67
2.93185E-04	1170.98
2.93231E-04	1158.49
2.93434E-04	1104.51
2.93450E-04	1100.68
2.93683E-04	1043.37
2.93777E-04	1022.18
2.93933E-04	986.998
