E(MeV)	Hf-180	
7.36957E-05	80.4515	
7.37332E-05	77.2476	
7.37404E-05	76.6432	
7.37706E-05	74.318	
7.37923E-05	72.6884	
7.38081E-05	71.5887	
7.38441E-05	69.1355	
7.38456E-05	69.0449	
7.38830E-05	66.7303	
7.38960E-05	65.9423	
7.39205E-05	64.5883	
7.39622E-05	62.3189	
7.39738E-05	61.7037	
7.40083E-05	60.049	
7.40516E-05	58.0187	
7.40544E-05	57.8969	
7.41005E-05	55.9841	
7.41351E-05	54.5735	
7.41467E-05	54.1505	
7.41928E-05	52.4871	
7.42216E-05	51.4633	
7.42389E-05	50.9088	
7.42850E-05	49.453	
7.43080E-05	48.7359	
7.43368E-05	47.923	
7.43944E-05	46.3239	
7.44521E-05	44.8908	
7.44809E-05	44.1854	
7.45097E-05	43.5407	
7.45673E-05	42.2712	
7.45702E-05	42.2086	
7.46249E-05	41.1227	
7.46653E-05	40.3336	
7.46826E-05	40.0285	
7.47402E-05	39.0256	
7.47921E-05	38.135	
7.48036E-05	37.9581	
7.48727E-05	36.9123	
7.49188E-05	36.2248	
7.49419E-05	35.9156	
7.50110E-05	35.001	
7.50456E-05	34.5496	
7.50802E-05	34.1479	
7.51493E-05	33.3548	
7.52185E-05	32.5732	
7.52531E-05	32.2291	
7.53222E-05	31.5512	
7.53913E-05	30.8816	
7.54144E-05	30.6836	
7.55066E-05	29.9031	
7.55642E-05	29.4216	
7.55988E-05	29.1637	
7.56910E-05	28.4847	
7.57371E-05	28.1491	
7.57832E-05	27.8526	
7.58754E-05	27.2667	
7.59676E-05	26.6871	
7.60598E-05	26.1852	
7.61750E-05	25.5648	
7.61981E-05	25.4422	
7.62903E-05	25.0093	
7.64056E-05	24.4743	
7.64286E-05	24.3684	
7.65208E-05	23.9918	
7.66360E-05	23.526	
7.66591E-05	23.4337	
7.67513E-05	23.1033	
7.68665E-05	22.6941	
7.68896E-05	22.613	
7.69818E-05	22.3235	
7.71143E-05	21.9112	
7.71608E-05	21.768	
7.72469E-05	21.5375	
7.73794E-05	21.1861	
7.75119E-05	20.8376	
7.75676E-05	20.6927	
7.77108E-05	20.3745	
7.79096E-05	19.938	
7.79744E-05	19.7971	
7.81084E-05	19.546	
7.83072E-05	19.1772	
7.83869E-05	19.0307	
7.85060E-05	18.8397	
7.87048E-05	18.5238	
7.87994E-05	18.3746	
7.89036E-05	18.2329	
7.91024E-05	17.9648	
7.93116E-05	17.6847	
7.93533E-05	17.6293	
7.95209E-05	17.4391	
7.96604E-05	17.2818	
7.99112E-05	17.0008	
7.99394E-05	16.9733	
8.02184E-05	16.705	
8.04729E-05	16.4622	
8.05013E-05	16.4391	
8.07843E-05	16.2119	
8.10672E-05	15.9864	
8.13214E-05	15.785	
8.13501E-05	15.766	
8.16371E-05	15.5778	
8.19240E-05	15.3906	
8.21819E-05	15.2234	
8.22109E-05	15.2074	
8.24978E-05	15.0504	
8.29210E-05	14.8204	
8.30475E-05	14.7521	
8.33442E-05	14.6175	
8.37738E-05	14.4238	
8.42162E-05	14.2255	
8.46587E-05	14.0603	
8.51053E-05	13.8944	
8.54044E-05	13.7839	
8.55539E-05	13.7383	
8.60026E-05	13.6023	
8.65793E-05	13.4284	
8.71559E-05	13.2553	
8.77707E-05	13.1058	
8.83855E-05	12.9569	
8.90090E-05	12.8066	
8.96325E-05	12.6818	
9.02647E-05	12.5557	
9.08970E-05	12.43	
9.18588E-05	12.2716	
9.28297E-05	12.1124	
9.34799E-05	12.0061	
9.37740E-05	11.9665	
9.46562E-05	11.8481	
9.56577E-05	11.7141	
9.66475E-05	11.582	
9.76465E-05	11.4726	
9.86761E-05	11.3602	
9.99505E-05	11.2213	
1.00656E-04	11.1447	
1.01361E-04	11.0812	
1.02598E-04	10.9702	
1.04045E-04	10.8405	
1.05513E-04	10.7092	
1.06257E-04	10.6529	
1.07756E-04	10.5397	
1.09277E-04	10.4251	
1.10818E-04	10.309	
1.11595E-04	10.2507	
1.12382E-04	10.1997	
1.14766E-04	10.0456	
1.17206E-04	9.88809	
1.18859E-04	9.78153	
1.20536E-04	9.67359	
1.22237E-04	9.57074	
1.23875E-04	9.47181	
1.25473E-04	9.37537	
1.27071E-04	9.27906	
1.28669E-04	9.18288	
1.30268E-04	9.08683	
1.31866E-04	8.99093	
1.33464E-04	8.8952	
1.35062E-04	8.79966	
1.36660E-04	8.70435	
1.38658E-04	8.5689	
1.39857E-04	8.48787	
1.41056E-04	8.40703	
1.42254E-04	8.32643	
1.43453E-04	8.23294	
1.44652E-04	8.13976	
1.45850E-04	8.04696	
1.46250E-04	8.01615	
1.46650E-04	7.97986	
1.47449E-04	7.90749	
1.48248E-04	7.83538	
1.49047E-04	7.76355	
1.49446E-04	7.72779	
1.49846E-04	7.68565	
1.50645E-04	7.60174	
1.51045E-04	7.55993	
1.51844E-04	7.47668	
1.52643E-04	7.37826	
1.53242E-04	7.30484	
1.53842E-04	7.23185	
1.54241E-04	7.18349	
1.54441E-04	7.15475	
1.55040E-04	7.06906	
1.55640E-04	6.98397	
1.55839E-04	6.95584	
1.56239E-04	6.88973	
1.56838E-04	6.79138	
1.57438E-04	6.69397	
1.57837E-04	6.61846	
1.58237E-04	6.54349	
1.58636E-04	6.46914	
1.59036E-04	6.38294	
1.59454E-04	6.2937	
1.59871E-04	6.20543	
1.60289E-04	6.10427	
1.60706E-04	6.00438	
1.61035E-04	5.91549	
1.61364E-04	5.82763	
1.61583E-04	5.7698	
1.61692E-04	5.73621	
1.62021E-04	5.63671	
1.62350E-04	5.53872	
1.62460E-04	5.50661	
1.62658E-04	5.43982	
1.62955E-04	5.34124	
1.63054E-04	5.30898	
1.63253E-04	5.23617	
1.63550E-04	5.12898	
1.63649E-04	5.09403	
1.63848E-04	5.0143	
1.64150E-04	4.89542	
1.64255E-04	4.85536	
1.64359E-04	4.81017	
1.64568E-04	4.72152	
1.64672E-04	4.67816	
1.64777E-04	4.63003	
1.64985E-04	4.53592	
1.65090E-04	4.49009	
1.65194E-04	4.43889	
1.65403E-04	4.33923	
1.65507E-04	4.29095	
1.65612E-04	4.23681	
1.65800E-04	4.14236	
1.65904E-04	4.09157	
1.65967E-04	4.05738	
1.66133E-04	3.96906	
1.66280E-04	3.89454	
1.66301E-04	3.88274	
1.66467E-04	3.79194	
1.66561E-04	3.74311	
1.66635E-04	3.70144	
1.66802E-04	3.6107	
1.66843E-04	3.5893	
1.66969E-04	3.51844	
1.67115E-04	3.44052	
1.67125E-04	3.43536	
1.67303E-04	3.33772	
1.67428E-04	3.27404	
1.67553E-04	3.20833	
1.67678E-04	3.14797	
1.67689E-04	3.14345	
1.67804E-04	3.0882	
1.67929E-04	3.03472	
1.67950E-04	3.02709	
1.68054E-04	2.98458	
1.68195E-04	2.9376	
1.68242E-04	2.92617	
1.68336E-04	2.90139	
1.68430E-04	2.88465	
1.68524E-04	2.87515	
1.68618E-04	2.87372	
1.68701E-04	2.88044	
1.68712E-04	2.88162	
1.68805E-04	2.90233	
1.68847E-04	2.91655	
1.68899E-04	2.93634	
1.68941E-04	2.95783	
1.68993E-04	2.98681	
1.69019E-04	3.0053	
1.69085E-04	3.05436	
1.69087E-04	3.05644	
1.69140E-04	3.10711	
1.69181E-04	3.1496	
1.69192E-04	3.1623	
1.69233E-04	3.21509	
1.69265E-04	3.25598	
1.69275E-04	3.26997	
1.69291E-04	3.29412	
1.69317E-04	3.33527	
1.69343E-04	3.37739	
1.69348E-04	3.38603	
1.69369E-04	3.42502	
1.69397E-04	3.4774	
