E(MeV)	"HF-178(N,TOT)"
1.03918E-04	8.88815
1.03926E-04	8.94611
1.03942E-04	9.06254
1.03962E-04	9.23943
1.03975E-04	9.36102
1.03983E-04	9.44135
1.04004E-04	9.67187
1.04024E-04	9.94333
1.04040E-04	10.179
1.04048E-04	10.3171
1.04055E-04	10.4453
1.04070E-04	10.7478
1.04086E-04	11.0956
1.04100E-04	11.471
1.04113E-04	11.8433
1.04115E-04	11.9058
1.04126E-04	12.269
1.04138E-04	12.7528
1.04143E-04	12.9567
1.04151E-04	13.3095
1.04164E-04	13.9477
1.04171E-04	14.3701
1.04172E-04	14.424
1.04180E-04	14.9533
1.04189E-04	15.5323
1.04190E-04	15.6026
1.04197E-04	16.1747
1.04204E-04	16.7226
1.04206E-04	16.8814
1.04214E-04	17.6629
1.04216E-04	17.8056
1.04223E-04	18.5281
1.04227E-04	19.0554
1.04231E-04	19.4824
1.04237E-04	20.1799
1.04238E-04	20.4152
1.04246E-04	21.434
1.04253E-04	22.5518
1.04257E-04	23.1568
1.04261E-04	23.7706
1.04268E-04	25.0984
1.04276E-04	26.5515
1.04283E-04	28.1376
1.04291E-04	29.8671
1.04298E-04	31.7523
1.04306E-04	33.8049
1.04313E-04	36.0386
1.04321E-04	38.4661
1.04328E-04	41.1026
1.04336E-04	43.9619
1.04343E-04	47.0602
1.04351E-04	50.4125
1.04358E-04	54.0512
1.04359E-04	54.5109
1.04366E-04	57.9745
