MeV	"I-127(N,TOT)"	
3.02743E-05	27.9866	
3.02847E-05	28.6132	
3.02970E-05	29.4215	
3.03183E-05	30.8442	
3.03197E-05	30.9462	
3.03406E-05	32.4917	
3.03424E-05	32.6304	
3.03630E-05	34.2842	
3.03651E-05	34.4657	
3.03853E-05	36.2394	
3.03878E-05	36.4711	
3.04077E-05	38.3782	
3.04105E-05	38.6685	
3.04276E-05	40.4648	
3.04301E-05	40.7239	
3.04447E-05	42.4136	
3.04524E-05	43.3073	
3.04618E-05	44.4956	
3.04716E-05	45.7403	
3.04790E-05	46.7585	
3.04957E-05	49.1097	
3.04961E-05	49.1639	
3.05132E-05	51.8452	
3.05198E-05	52.8969	
3.05303E-05	54.7067	
3.05359E-05	55.6833	
3.05474E-05	57.8471	
3.05520E-05	58.7089	
3.05614E-05	60.6363	
3.05681E-05	62.0066	
3.05754E-05	63.6416	
3.05841E-05	65.6086	
3.05894E-05	66.883	
3.05991E-05	69.2876	
3.06033E-05	70.3974	
3.06131E-05	73.0162	
3.06173E-05	74.2248	
3.06271E-05	77.0779	
3.06313E-05	78.3981	
3.06411E-05	81.5164	
3.06453E-05	82.9637	
3.06550E-05	86.3838	
3.06592E-05	87.9762	
3.06690E-05	91.7363	
3.06704E-05	92.3219	
3.06816E-05	97.0587	
3.06830E-05	97.6581	
3.06928E-05	102.247	
3.06970E-05	104.238	
3.07039E-05	107.874	
3.07102E-05	111.189	
3.07151E-05	114.013	
3.07228E-05	118.509	
3.07263E-05	120.751	
3.07354E-05	126.66	
3.07375E-05	128.163	
3.07480E-05	135.779	
3.07487E-05	136.334	
3.07574E-05	143.359	
3.07584E-05	144.27	
3.07668E-05	151.659	
3.07682E-05	152.994	
3.07763E-05	160.774	
3.07780E-05	162.611	
3.07857E-05	170.809	
3.07878E-05	173.242	
3.07951E-05	181.869	
3.08025E-05	191.384	
3.08046E-05	194.136	
3.08098E-05	201.66	
3.08143E-05	208.261	
3.08171E-05	212.72	
3.08241E-05	224.003	
