E(MeV)	pendfb7/Br81:1	
8.52229E-05	3.96394124	
8.56942E-05	3.93755802	
8.61655E-05	3.91458519	
8.64012E-05	3.90502463	
8.66368E-05	3.89178688	
8.71081E-05	3.86967887	
8.73438E-05	3.86111181	
8.75794E-05	3.84913143	
8.80507E-05	3.83086125	
8.82864E-05	3.82499728	
8.85220E-05	3.81525846	
8.89933E-05	3.80334157	
8.92290E-05	3.80177699	
8.94646E-05	3.79583987	
8.98181E-05	3.79358503	
9.01716E-05	3.79785029	
9.05251E-05	3.8031759	
9.08785E-05	3.81690623	
9.12320E-05	3.83433883	
9.15855E-05	3.86249827	
9.19390E-05	3.89763538	
9.22924E-05	3.94771965	
9.26459E-05	4.00934478	
9.28816E-05	4.06151044	
9.29994E-05	4.09263778	
9.31172E-05	4.12189476	
9.33529E-05	4.1917266	
9.35885E-05	4.27429895	
9.38242E-05	4.3712662	
9.40598E-05	4.48456142	
9.42955E-05	4.61645473	
9.44958E-05	4.74517555	
9.46254E-05	4.84109437	
9.47432E-05	4.92957519	
9.49906E-05	5.14610047	
9.50495E-05	5.20465354	
9.51556E-05	5.3122916	
9.53205E-05	5.49748856	
9.53677E-05	5.55605962	
9.54855E-05	5.70535976	
9.55797E-05	5.83742592	
9.56504E-05	5.93840733	
9.57918E-05	6.16037536	
9.57977E-05	6.16980697	
9.59509E-05	6.44198643	
9.59921E-05	6.51665773	
9.61100E-05	6.75729265	
9.61865E-05	6.91669316	
9.62514E-05	7.06594878	
9.63162E-05	7.21890516	
9.64458E-05	7.55077975	
9.64634E-05	7.59997249	
9.65754E-05	7.91893796	
9.65872E-05	7.95544275	
9.66873E-05	8.27102792	
9.67050E-05	8.32767742	
9.67875E-05	8.61671218	
9.68523E-05	8.84779959	
9.68876E-05	8.98552985	
9.69760E-05	9.33604237	
9.69878E-05	9.38680336	
9.70629E-05	9.71558883	
9.70997E-05	9.87918948	
9.71380E-05	10.0641163	
9.72131E-05	10.4323392	
9.72234E-05	10.4837121	
9.72882E-05	10.8350022	
9.73471E-05	11.1601236	
9.73766E-05	11.3347348	
9.74296E-05	11.6542059	
9.74355E-05	11.6923305	
9.74944E-05	12.078624	
9.75474E-05	12.4312199	
9.75533E-05	12.4738718	
9.76122E-05	12.9063381	
9.76653E-05	13.3013773	
9.76711E-05	13.3492415	
9.77301E-05	13.8349129	
9.77831E-05	14.2787273	
9.77860E-05	14.3056644	
9.78390E-05	14.7974269	
9.78921E-05	15.2964703	
9.79009E-05	15.3809569	
9.79451E-05	15.8375069	
9.79893E-05	16.3011726	
9.79981E-05	16.4005201	
9.80511E-05	17.0058639	
9.80776E-05	17.3135632	
9.81041E-05	17.6435175	
9.81572E-05	18.3143518	
9.81660E-05	18.4280816	
9.82072E-05	18.9977783	
9.82544E-05	19.6593471	
9.83015E-05	20.382213	
9.83427E-05	21.0251273	
9.83486E-05	21.1239982	
9.83958E-05	21.9278432	
9.84288E-05	22.5002968	
9.84429E-05	22.764395	
9.84900E-05	23.6598502	
9.85136E-05	24.1157929	
9.85372E-05	24.6070867	
9.85984E-05	25.9113961	
9.86550E-05	27.2422266	
9.86833E-05	27.9236092	
9.87115E-05	28.6606898	
9.87681E-05	30.1703873	
9.88246E-05	31.8444315	
9.88482E-05	32.5604133	
9.88812E-05	33.6391315	
9.89189E-05	34.9050644	
9.89378E-05	35.5848127	
9.89896E-05	37.5052902	
9.89943E-05	37.6932455	
9.90320E-05	39.2313601	
9.90603E-05	40.4076795	
9.90697E-05	40.8304883	
9.91074E-05	42.5546534	
9.91310E-05	43.6546492	
9.91451E-05	44.3678207	
9.91970E-05	47.0472492	
9.92017E-05	47.298225	
9.92465E-05	49.8780434	
9.92724E-05	51.4164045	
9.92959E-05	52.9133173	
9.93195E-05	54.4562109	
9.93454E-05	56.2514795	
9.93666E-05	57.7588555	
9.93784E-05	58.6461017	
9.94114E-05	61.183324	
9.94138E-05	61.3686798	
9.94444E-05	63.92353	
9.94609E-05	65.330789	
9.94774E-05	66.8260611	
9.95080E-05	69.6672142	
9.95104E-05	69.8999738	
9.95434E-05	73.2345155	
9.95552E-05	74.4552439	
9.95764E-05	76.7937742	
9.95999E-05	79.4578987	
9.96094E-05	80.5909947	
9.96424E-05	84.6585836	
9.96753E-05	89.0991327	
9.96848E-05	90.4022959	
9.97060E-05	93.524369	
9.97272E-05	96.725762	
9.97343E-05	97.8651571	
9.97625E-05	102.534709	
9.97696E-05	103.732967	
9.97908E-05	107.576496	
9.98120E-05	111.52242	
9.98191E-05	112.933426	
9.98474E-05	118.728818	
9.98544E-05	120.219742	
9.98756E-05	125.02594	
9.98969E-05	129.972912	
9.99039E-05	131.739915	
9.99298E-05	138.402792	
9.99322E-05	139.025466	
9.99534E-05	144.960877	
9.99605E-05	146.99298	
9.99770E-05	151.993055	
9.99888E-05	155.663403	
1.00001E-04	159.541111	
1.00017E-04	165.12294	
1.00024E-04	167.655355	
1.00045E-04	175.471061	
1.00048E-04	176.39237	
1.00071E-04	185.874687	
1.00074E-04	186.852971	
1.00095E-04	196.196633	
1.00102E-04	199.409651	
1.00117E-04	206.812538	
1.00130E-04	213.267107	
1.00138E-04	217.632743	
1.00156E-04	227.269415	
1.00160E-04	229.310652	
1.00180E-04	241.231264	
1.00181E-04	241.972825	
1.00202E-04	255.741105	
1.00203E-04	256.531571	
1.00223E-04	270.741827	
1.00227E-04	273.335602	
1.00244E-04	287.063189	
1.00250E-04	291.797867	
1.00266E-04	304.844288	
1.00274E-04	312.109727	
1.00286E-04	323.120782	
1.00297E-04	334.489776	
1.00305E-04	341.734099	
1.00321E-04	359.171671	
1.00323E-04	361.815317	
1.00342E-04	383.635421	
1.00343E-04	385.045629	
1.00361E-04	407.390245	
1.00365E-04	412.008896	
1.00380E-04	433.139685	
1.00386E-04	441.539081	
1.00399E-04	461.050579	
1.00407E-04	473.880479	
1.00418E-04	491.300803	
1.00428E-04	509.278778	
1.00435E-04	521.933663	
1.00449E-04	547.991343	
1.00452E-04	552.577714	
1.00468E-04	585.573426	
1.00471E-04	590.425035	
1.00485E-04	621.097562	
1.00492E-04	636.868383	
1.00501E-04	658.987627	
1.00512E-04	684.562899	
1.00518E-04	699.456808	
1.00531E-04	733.109092	
1.00534E-04	742.707792	
1.00550E-04	785.406157	
1.00551E-04	788.839569	
1.00567E-04	838.123869	
1.00568E-04	841.736472	
1.00584E-04	890.70094	
1.00587E-04	902.286735	
1.00600E-04	946.520861	
1.00606E-04	967.25105	
1.00625E-04	1036.1988	
1.00650E-04	1134.32777	
1.00653E-04	1148.8186	
1.00675E-04	1239.91246	
1.00676E-04	1247.73749	
1.00697E-04	1345.28769	
1.00699E-04	1353.61928	
1.00717E-04	1440.44161	
1.00730E-04	1505.66983	
1.00743E-04	1573.64178	
1.00761E-04	1668.645	
1.00769E-04	1714.722	
1.00799E-04	1890.1899	
1.00805E-04	1925.10278	
1.00847E-04	2175.40153	
1.00848E-04	2182.66807	
1.00934E-04	2721.23798	
1.00954E-04	2843.12248	
1.00975E-04	2968.49223	
1.00984E-04	3019.39482	
1.01014E-04	3188.43538	
1.01022E-04	3229.82538	
1.01043E-04	3331.61996	
1.01059E-04	3402.42953	
1.01070E-04	3450.88939	
1.01084E-04	3505.86082	
1.01097E-04	3552.04959	
1.01110E-04	3592.51736	
1.01125E-04	3635.92705	
1.01138E-04	3667.32057	
1.01153E-04	3698.00793	
1.01166E-04	3717.84737	
1.01181E-04	3735.28224	
1.01192E-04	3742.89649	
1.01199E-04	3745.40439	
1.01222E-04	3742.60594	
1.01229E-04	3739.04019	
1.01245E-04	3722.47924	
1.01257E-04	3707.0361	
1.01274E-04	3676.59947	
1.01275E-04	3672.59415	
1.01298E-04	3615.5292	
1.01302E-04	3604.81035	
1.01328E-04	3518.38244	
1.01354E-04	3417.00982	
1.01358E-04	3398.98374	
1.01385E-04	3274.7937	
1.01388E-04	3261.02317	
1.01416E-04	3113.40473	
1.01429E-04	3044.4241	
1.01450E-04	2923.44175	
1.01471E-04	2798.94824	
