E(MeV)	Sm-154
2.57685E-04	17.9674
2.57696E-04	17.8077
2.57717E-04	17.3178
2.57744E-04	16.8639
2.57772E-04	16.8216
2.57794E-04	16.4609
2.57807E-04	16.0869
2.57814E-04	15.6687
2.57833E-04	15.5042
2.57849E-04	15.4422
2.57866E-04	15.0349
2.57886E-04	14.6582
2.57897E-04	14.5081
2.57905E-04	14.3196
2.57920E-04	14.0123
2.57940E-04	13.7247
2.57951E-04	13.6475
2.57967E-04	13.468
2.57980E-04	13.2318
2.57999E-04	12.9475
2.58004E-04	12.682
2.58015E-04	12.4536
2.58030E-04	12.2392
2.58044E-04	12.0371
2.58060E-04	11.9734
2.58076E-04	11.8568
2.58089E-04	11.6914
2.58106E-04	11.4797
2.58107E-04	11.3207
2.58120E-04	11.2744
2.58135E-04	11.1345
2.58153E-04	10.9638
2.58172E-04	10.8028
2.58191E-04	10.7559
2.58202E-04	10.6608
2.58209E-04	10.5308
2.58226E-04	10.4071
2.58242E-04	10.2447
2.58260E-04	10.1848
2.58275E-04	10.1239
