E(MeV)	pendfb7/Ba135:1
2.41447E-05	645.812683
2.41478E-05	665.736708
2.41527E-05	700.740036
2.41569E-05	730.660456
2.41607E-05	759.94476
2.41660E-05	801.338394
2.41687E-05	823.517044
2.41752E-05	877.867816
2.41767E-05	891.449592
2.41831E-05	949.662622
2.41847E-05	964.20422
2.41919E-05	1033.7978
2.41938E-05	1052.25446
2.42010E-05	1126.75315
2.42045E-05	1162.31473
2.42102E-05	1225.06773
2.42178E-05	1309.41877
2.42239E-05	1380.63122
2.42345E-05	1506.22819
2.42391E-05	1561.87171
2.42741E-05	1990.55153
2.42817E-05	2079.34804
2.42886E-05	2158.63508
2.42939E-05	2215.76642
2.43023E-05	2304.60381
2.43061E-05	2340.69604
2.43152E-05	2425.9096
2.43185E-05	2452.70296
2.43274E-05	2521.85911
2.43279E-05	2525.31628
2.43371E-05	2583.40373
2.43389E-05	2592.36105
2.43481E-05	2635.16478
2.43499E-05	2641.07428
2.43572E-05	2663.15228
2.43590E-05	2665.71769
2.43696E-05	2678.2001
2.43764E-05	2672.95074
2.43804E-05	2669.0879
2.43864E-05	2654.06879
2.43895E-05	2645.90568
2.43956E-05	2621.48321
2.43986E-05	2608.67383
2.44047E-05	2572.98395
2.44138E-05	2517.75473
2.44237E-05	2440.3203
2.44260E-05	2421.3243
2.44335E-05	2351.69788
2.44391E-05	2298.30137
2.44438E-05	2248.60711
2.44522E-05	2159.36145
2.44552E-05	2124.59321
2.44659E-05	2001.67732
2.44705E-05	1946.72828
2.45070E-05	1504.16398
2.45158E-05	1401.96914
2.45215E-05	1335.76494
2.45306E-05	1235.08759
2.45348E-05	1189.3165
2.45439E-05	1094.9978
2.45454E-05	1079.41241
2.45542E-05	995.044257
2.45561E-05	976.863312
2.45645E-05	901.669664
2.45648E-05	898.285593
2.45740E-05	821.984508
2.45747E-05	816.044893
2.45831E-05	751.456069
2.45850E-05	737.806913
2.45922E-05	686.574859
2.45953E-05	666.601595
2.46014E-05	627.105778
2.46029E-05	617.87239
2.46075E-05	590.450813
2.46105E-05	573.272968
2.46151E-05	547.772011
2.46181E-05	531.93987
2.46227E-05	508.44532
2.46257E-05	493.884626
2.46303E-05	472.283073
2.46333E-05	458.916317
2.46379E-05	439.091818
2.46410E-05	426.839957
2.46455E-05	408.672772
2.46486E-05	397.456698
2.46531E-05	380.828934
2.46562E-05	370.570706
2.46607E-05	355.375651
2.46647E-05	343.078856
2.46684E-05	332.101107
2.46733E-05	318.198544
2.46758E-05	311.339205
2.46819E-05	295.700362
2.46832E-05	292.324373
2.46904E-05	275.347067
2.46906E-05	274.906034
2.46980E-05	258.970232
2.46990E-05	257.074341
2.47055E-05	244.35907
2.47076E-05	240.539175
2.47129E-05	230.946691
2.47161E-05	225.534314
2.47203E-05	218.622319
2.47247E-05	211.900563
2.47277E-05	207.293763
2.47361E-05	195.632548
2.47376E-05	193.546995
2.47475E-05	181.194728
2.47567E-05	170.909958
2.47589E-05	168.537218
2.47658E-05	161.535104
2.47704E-05	157.218463
2.47749E-05	152.968829
2.47818E-05	147.061817
2.47841E-05	145.121921
2.47932E-05	138.000245
2.47962E-05	135.660028
2.48046E-05	129.805182
2.48084E-05	127.180679
2.48160E-05	122.386047
2.48206E-05	119.553836
2.48312E-05	113.495441
2.48328E-05	112.64453
2.48449E-05	106.383476
2.48465E-05	105.663873
2.48586E-05	100.006239
2.48617E-05	98.7078306
2.48723E-05	94.2376798
2.48769E-05	92.4730699
2.48860E-05	88.9988381
2.48921E-05	86.8588609
2.48997E-05	84.2237027
2.49074E-05	81.7819962
2.49134E-05	79.8627293
2.49271E-05	75.8519079
2.49302E-05	75.0212282
2.49408E-05	72.1743487
2.49530E-05	69.1367806
2.49545E-05	68.7643187
2.49728E-05	64.6287307
2.49759E-05	63.9953061
2.49911E-05	60.9075374
2.50093E-05	57.4941768
2.50147E-05	56.573209
2.50276E-05	54.3926481
2.50383E-05	52.728222
2.50459E-05	51.5599866
2.50619E-05	49.2808721
2.50641E-05	48.9606414
2.50824E-05	46.5754917
2.50855E-05	46.2042296
2.51007E-05	44.3858112
2.51208E-05	42.1499787
2.51235E-05	41.8613623
2.51463E-05	39.5801657
2.51562E-05	38.6649865
2.51692E-05	37.4910551
2.51798E-05	36.5939907
2.51920E-05	35.5871967
2.52148E-05	33.8317849
2.52156E-05	33.7771959
2.52377E-05	32.2286233
2.52514E-05	31.3304501
2.52605E-05	30.7437906
2.52834E-05	29.3711754
2.52872E-05	29.1575633
2.53100E-05	27.9017977
2.53229E-05	27.2396567
2.53366E-05	26.5548767
2.53633E-05	25.3138843
2.53766E-05	24.7337705
2.53899E-05	24.1694341
2.54165E-05	23.1130607
2.54302E-05	22.6108286
2.54565E-05	21.6738959
2.54850E-05	20.7449297
2.54965E-05	20.3828252
2.55307E-05	19.382866
2.55421E-05	19.07285
2.55650E-05	18.4688429
2.55992E-05	17.6248121
2.56335E-05	16.8559977
2.56563E-05	16.3762772
2.56677E-05	16.1428771
2.57020E-05	15.4867785
2.57324E-05	14.9468637
2.57533E-05	14.5872767
2.57933E-05	13.9542068
2.58161E-05	13.6174985
2.58390E-05	13.2919102
2.58846E-05	12.6879917
2.59075E-05	12.4069014
2.59303E-05	12.1351315
2.59760E-05	11.6285644
2.59988E-05	11.3916844
2.60216E-05	11.1623113
2.60673E-05	10.732723
2.60901E-05	10.5309273
2.61130E-05	10.3361171
2.61624E-05	9.94024391
2.62119E-05	9.5696752
2.62157E-05	9.5422041
2.62690E-05	9.18284996
2.63223E-05	8.84602689
2.63261E-05	8.82340833
2.63756E-05	8.53981288
2.64288E-05	8.25248206
2.64403E-05	8.19519334
2.65088E-05	7.86493935
2.65620E-05	7.62579412
2.65925E-05	7.49729775
2.66305E-05	7.34346799
2.66990E-05	7.08498098
2.67447E-05	6.92352844
2.67675E-05	6.84601742
2.68360E-05	6.62798636
2.68969E-05	6.44568107
2.69045E-05	6.42375225
2.69730E-05	6.23797375
2.70492E-05	6.04574621
2.70758E-05	5.98143185
2.71519E-05	5.81075225
2.72356E-05	5.63429512
2.72775E-05	5.55133269
2.73194E-05	5.47303979
2.74031E-05	5.32583144
2.74868E-05	5.18701845
2.75466E-05	5.09334726
2.75705E-05	5.05801896
2.76961E-05	4.88545974
2.78360E-05	4.71034462
2.78778E-05	4.66095179
2.79758E-05	4.55450821
2.80738E-05	4.45376344
2.81254E-05	4.40397549
2.82208E-05	4.31789405
2.83677E-05	4.19503361
2.85006E-05	4.09158669
2.85147E-05	4.0813673
2.86636E-05	3.98054816
2.88135E-05	3.8856567
2.88759E-05	3.84854541
2.89633E-05	3.79994992
2.91132E-05	3.72172111
2.92631E-05	3.64790826
2.92832E-05	3.63849688
2.94148E-05	3.581964
2.95701E-05	3.51883816
2.97772E-05	3.43969583
2.98827E-05	3.40192349
2.99844E-05	3.36862861
3.01915E-05	3.30505315
3.03954E-05	3.24610906
3.04590E-05	3.22869762
3.05993E-05	3.19343413
3.08031E-05	3.14482735
3.10070E-05	3.09860126
3.11036E-05	3.0777359
3.12257E-05	3.0534097
3.14445E-05	3.01197926
3.16632E-05	2.972424
3.17412E-05	2.95891799
3.18819E-05	2.93656325
3.22193E-05	2.8858111
