E(MeV)	Gd-160
2.396420E-04	7.59977
2.398720E-04	7.58395
2.402180E-04	7.56544
2.407950E-04	7.53491
2.413710E-04	7.50466
2.419480E-04	7.47466
2.425240E-04	7.44489
2.433320E-04	7.40354
2.433890E-04	7.40127
2.442540E-04	7.36755
2.451190E-04	7.33415
2.460990E-04	7.29665
2.467910E-04	7.27035
2.472520E-04	7.25293
2.478290E-04	7.23612
2.488660E-04	7.20613
2.499040E-04	7.17635
2.509420E-04	7.14676
2.519800E-04	7.11734
2.527870E-04	7.09456
2.530170E-04	7.08963
2.537090E-04	7.07491
2.550930E-04	7.04563
2.564770E-04	7.01651
2.578600E-04	6.98753
2.592440E-04	6.95868
2.606160E-04	6.93018
2.610890E-04	6.92038
2.629020E-04	6.89199
2.647560E-04	6.86308
2.666110E-04	6.83428
2.684620E-04	6.80562
2.703140E-04	6.77704
2.721590E-04	6.74862
2.740030E-04	6.72026
2.767710E-04	6.68681
2.795380E-04	6.65344
2.823060E-04	6.62015
2.850730E-04	6.58692
2.880890E-04	6.55076
2.911340E-04	6.51431
2.942980E-04	6.4765
2.952420E-04	6.46666
2.994070E-04	6.42328
3.034360E-04	6.38138
3.072120E-04	6.34215
3.109020E-04	6.30385
3.164370E-04	6.24646
3.219720E-04	6.18913
3.256610E-04	6.15094
3.325710E-04	6.07949
3.385760E-04	6.01746
3.441110E-04	5.96035
3.496450E-04	5.90328
3.552620E-04	5.84545
3.591140E-04	5.80581
3.610410E-04	5.78601
3.629670E-04	5.76295
3.668200E-04	5.71687
3.706720E-04	5.67084
3.725980E-04	5.64784
3.764510E-04	5.60189
3.803040E-04	5.55601
3.822300E-04	5.5331
3.841560E-04	5.50596
3.880090E-04	5.45176
3.908980E-04	5.41119
3.937880E-04	5.37069
3.957140E-04	5.34376
3.966770E-04	5.32754
3.995670E-04	5.27899
4.014930E-04	5.2467
4.034200E-04	5.21449
4.053460E-04	5.18238
4.072720E-04	5.15039
4.087170E-04	5.12121
4.101620E-04	5.09216
4.112450E-04	5.0705
4.123290E-04	5.04898
4.130510E-04	5.03474
4.137100E-04	5.02185
4.143690E-04	5.00911
4.148640E-04	4.99967
4.153580E-04	4.99037
4.156880E-04	4.98429
4.158430E-04	4.98098
4.163090E-04	4.97128
4.166190E-04	4.96498
4.169300E-04	4.95884
4.172410E-04	4.95291
4.174740E-04	4.94864
4.177070E-04	4.94456
4.179400E-04	4.94072
4.181720E-04	4.93718
4.183170E-04	4.93518
4.184610E-04	4.93336
4.186050E-04	4.93174
4.187490E-04	4.93037
4.188940E-04	4.92931
4.190020E-04	4.92875
4.191100E-04	4.92845
4.192180E-04	4.92843
4.193260E-04	4.92876
4.194150E-04	4.92933
4.195040E-04	4.93024
4.195920E-04	4.93154
4.196810E-04	4.9333
4.197480E-04	4.93498
4.198140E-04	4.93704
4.198810E-04	4.93952
4.199480E-04	4.94251
4.200140E-04	4.94612
4.200640E-04	4.94931
4.201190E-04	4.95345
4.201610E-04	4.95705
4.202030E-04	4.96115
4.202440E-04	4.96586
4.202860E-04	4.97131
4.203270E-04	4.97768
