E(MeV)	Mo-nat
4.548380E-05	451.724
4.548600E-05	447.651
4.549950E-05	424.319
4.550400E-05	416.845
4.551530E-05	399.011
4.552200E-05	388.733
4.553100E-05	375.653
4.554000E-05	363.092
4.554670E-05	354.098
4.555800E-05	339.706
4.556250E-05	334.208
4.557600E-05	318.372
4.557830E-05	315.849
4.559400E-05	298.896
4.561200E-05	281.151
4.563000E-05	265.014
4.563450E-05	261.149
4.564800E-05	250.186
4.565700E-05	243.182
4.566600E-05	236.547
4.567950E-05	227.006
4.568400E-05	223.987
4.570200E-05	212.407
4.572000E-05	201.841
4.572450E-05	199.299
4.573800E-05	192.05
4.574700E-05	187.419
4.576050E-05	180.804
4.576950E-05	176.593
4.578300E-05	170.57
4.579200E-05	166.73
4.580550E-05	161.255
4.581900E-05	156.013
4.582800E-05	152.699
4.584600E-05	146.348
4.585050E-05	144.839
4.587300E-05	137.604
4.589550E-05	130.989
4.590000E-05	129.715
4.591800E-05	124.864
4.592700E-05	122.539
4.594730E-05	117.55
4.595400E-05	115.963
4.597650E-05	110.909
4.598100E-05	109.943
4.600570E-05	104.9
4.601810E-05	102.486
4.603500E-05	99.3657
4.604850E-05	96.9729
4.606430E-05	94.3266
4.608900E-05	90.3368
4.609350E-05	89.6525
4.612280E-05	85.3822
4.612950E-05	84.4334
4.615200E-05	81.4475
4.617000E-05	79.156
4.618800E-05	76.9867
4.621050E-05	74.3939
4.622400E-05	72.9179
4.625100E-05	70.0919
4.626000E-05	69.1963
4.629150E-05	66.192
4.629600E-05	65.7832
4.633200E-05	62.6451
4.636800E-05	59.7765
4.637700E-05	59.0857
4.640400E-05	57.1183
4.642200E-05	55.8542
4.644000E-05	54.6515
4.646700E-05	52.9189
4.648500E-05	51.8303
4.653000E-05	49.2263
4.653450E-05	48.9763
4.657500E-05	46.8791
4.660200E-05	45.5363
4.662000E-05	44.6983
4.666500E-05	42.6856
4.666950E-05	42.4916
4.671000E-05	40.8438
4.672120E-05	40.4025
4.675500E-05	39.1441
4.677980E-05	38.2538
4.680000E-05	37.5621
4.683820E-05	36.305
4.685400E-05	35.8181
4.690800E-05	34.2168
4.692600E-05	33.7033
4.696200E-05	32.7475
4.701370E-05	31.4253
4.701600E-05	31.3716
4.707000E-05	30.1296
4.710150E-05	29.4304
4.712400E-05	28.9576
4.716000E-05	28.2331
4.720500E-05	27.3745
4.725000E-05	26.5532
4.726690E-05	26.2639
4.733660E-05	25.1149
4.734000E-05	25.0615
4.740640E-05	24.0734
4.743000E-05	23.7351
4.747610E-05	23.1124
4.752000E-05	22.5422
4.754590E-05	22.2283
4.761560E-05	21.4134
4.765500E-05	20.9692
4.768540E-05	20.6528
4.775510E-05	19.9514
4.779000E-05	19.6123
4.782940E-05	19.2587
4.790810E-05	18.5766
4.793620E-05	18.3413
4.798690E-05	17.9523
4.806560E-05	17.368
4.810500E-05	17.0874
4.818370E-05	16.573
4.827370E-05	16.0128
4.830190E-05	15.8513
4.842000E-05	15.2047
4.844250E-05	15.0864
4.852130E-05	14.7037
4.861130E-05	14.2822
4.862250E-05	14.2332
4.872380E-05	13.8084
4.878000E-05	13.5803
4.882500E-05	13.4122
4.892620E-05	13.0468
4.900500E-05	12.7735
4.907810E-05	12.5415
4.923000E-05	12.0819
4.935370E-05	11.7517
4.945500E-05	11.4908
4.947750E-05	11.4373
4.960130E-05	11.1532
4.968000E-05	10.9781
4.972500E-05	10.8868
4.984870E-05	10.644
4.999500E-05	10.3678
5.003440E-05	10.3006
5.022000E-05	9.99797
5.031000E-05	9.85663
5.037750E-05	9.76023
5.053500E-05	9.54304
5.062500E-05	9.4229
5.069250E-05	9.34225
5.085000E-05	9.16027
5.100750E-05	8.98386
5.109370E-05	8.8901
5.116500E-05	8.82158
5.140120E-05	8.60303
5.155460E-05	8.46674
5.162990E-05	8.4071
5.185480E-05	8.23595
5.201560E-05	8.1178
5.207970E-05	8.07535
5.230460E-05	7.93168
5.244560E-05	7.84454
5.252940E-05	7.79798
5.278560E-05	7.6607
5.299820E-05	7.55044
5.321070E-05	7.4563
5.342330E-05	7.36479
