E(MeV)	Cr-nat			
8.75859E-03	18.9949			
8.77926E-03	18.6207			
8.82058E-03	17.8727			
8.86191E-03	17.198			
8.88258E-03	16.8608			
8.90324E-03	16.5585			
8.94367E-03	15.967			
8.94823E-03	15.9004			
8.95294E-03	15.8377			
8.98590E-03	15.3995			
9.00656E-03	15.1249			
9.02722E-03	14.8767			
9.06855E-03	14.3805			
9.08922E-03	14.1566			
9.13054E-03	13.709			
9.15121E-03	13.5097			
9.21320E-03	12.912			
9.23664E-03	12.7142			
9.23941E-03	12.6907			
9.27519E-03	12.3864			
9.28326E-03	12.3179			
9.28629E-03	12.2924			
9.28780E-03	12.2797			
9.28881E-03	12.2715			
9.28957E-03	12.2654			
9.29033E-03	12.2597			
9.29083E-03	12.2561			
9.29134E-03	12.2528			
9.29173E-03	12.2505			
9.29212E-03	12.2485			
9.29252E-03	12.2469			
9.29278E-03	12.2461			
9.29304E-03	12.2455			
9.29330E-03	12.2452			
9.29357E-03	12.2451			
9.29383E-03	12.2453			
9.29409E-03	12.2459			
9.29424E-03	12.2464			
9.29435E-03	12.2468			
9.29462E-03	12.2483			
9.29488E-03	12.2501			
9.29514E-03	12.2522			
9.29540E-03	12.2546			
9.29572E-03	12.258			
9.29610E-03	12.2624			
9.29666E-03	12.2698			
9.29749E-03	12.281			
9.29795E-03	12.2865			
9.29836E-03	12.2905			
9.29871E-03	12.293			
9.29905E-03	12.2945			
9.29936E-03	12.2948			
9.29968E-03	12.2941			
9.30000E-03	12.2922			
9.30031E-03	12.2893			
9.30062E-03	12.2853			
9.30095E-03	12.2801			
9.30129E-03	12.2735			
9.30163E-03	12.266			
9.30195E-03	12.258			
9.30228E-03	12.2494			
9.30283E-03	12.2339			
9.30375E-03	12.2075			
9.30413E-03	12.1972			
9.30450E-03	12.1874			
9.30478E-03	12.1805			
9.30508E-03	12.1735			
9.30538E-03	12.1668			
9.30569E-03	12.1606			
9.30599E-03	12.1547			
9.30630E-03	12.1494			
9.30660E-03	12.1444			
9.30691E-03	12.1398			
9.30721E-03	12.1356			
9.30752E-03	12.1316			
9.30782E-03	12.128			
9.30812E-03	12.1245			
9.30846E-03	12.121			
9.30879E-03	12.1176			
9.30924E-03	12.1134			
9.30969E-03	12.1095			
9.31036E-03	12.1038			
9.31125E-03	12.0965			
9.31251E-03	12.0867			
9.31495E-03	12.068			
9.31820E-03	12.0433			
9.32730E-03	11.9744			
9.36185E-03	11.7135			
9.37819E-03	11.5901			
9.43317E-03	11.2219			
9.46067E-03	11.0379			
9.54314E-03	10.545			
9.65311E-03	9.95918			
9.76307E-03	9.44435			
9.79057E-03	9.33075			
9.87133E-03	8.99717			
9.96186E-03	8.66904			
9.99041E-03	8.56561			
1.01184E-02	8.15485			
1.02188E-02	7.87783			
1.02622E-02	7.75821			
1.02743E-02	7.72483			
1.02752E-02	7.72289			
1.02818E-02	7.70786			
1.02852E-02	7.70033			
1.02868E-02	7.69672			
1.02877E-02	7.69502			
1.02885E-02	7.69348			
1.02892E-02	7.69242			
1.02897E-02	7.69188			
1.02901E-02	7.69155			
1.02905E-02	7.69146			
1.02908E-02	7.69157			
1.02912E-02	7.6919			
1.02915E-02	7.69251			
1.02918E-02	7.6931			
1.02920E-02	7.69386			
1.02922E-02	7.69479			
1.02925E-02	7.69605			
1.02927E-02	7.69756			
1.02930E-02	7.69937			
1.02932E-02	7.70148			
1.02935E-02	7.70393			
1.02938E-02	7.70673			
1.02940E-02	7.7099			
1.02943E-02	7.71344			
1.02944E-02	7.71606			
1.02945E-02	7.71761			
1.02948E-02	7.72263			
1.02950E-02	7.72812			
1.02953E-02	7.73417			
1.02956E-02	7.74279			
1.02960E-02	7.75195			
1.02967E-02	7.77124			
1.02973E-02	7.78739			
1.02978E-02	7.80041			
1.02982E-02	7.80975			
1.02983E-02	7.81083			
1.02986E-02	7.81553			
1.02989E-02	7.81955			
1.02992E-02	7.82268			
1.02995E-02	7.8244			
1.02998E-02	7.82465			
1.03000E-02	7.82431			
1.03003E-02	7.82261			
1.03006E-02	7.82009			
1.03009E-02	7.81561			
1.03012E-02	7.81001			
1.03015E-02	7.80448			
1.03019E-02	7.79557			
1.03022E-02	7.78668			
1.03028E-02	7.77117			
1.03039E-02	7.73758			
1.03042E-02	7.72778			
1.03046E-02	7.71842			
1.03049E-02	7.71013			
1.03052E-02	7.70287			
1.03055E-02	7.69612			
1.03058E-02	7.68988			
1.03060E-02	7.68554			
1.03062E-02	7.6815			
1.03064E-02	7.67773			
1.03066E-02	7.67423			
1.03069E-02	7.671			
1.03071E-02	7.66802			
1.03073E-02	7.66539			
1.03075E-02	7.66296			
1.03077E-02	7.66071			
1.03080E-02	7.65765			
1.03084E-02	7.65493			
