E(MeV)	pendfb7/Cs133:1
5.63731E-06	893.734071
5.64035E-06	918.980452
5.64136E-06	927.963647
5.64501E-06	960.388634
5.64541E-06	964.260621
5.64946E-06	1003.08309
5.65108E-06	1018.65621
5.65351E-06	1043.67488
5.65513E-06	1060.40152
5.65756E-06	1086.93108
5.65918E-06	1104.66862
5.66161E-06	1132.81851
5.66323E-06	1151.64031
5.66566E-06	1181.52719
5.66728E-06	1201.51127
5.66971E-06	1233.2597
5.67132E-06	1254.48909
5.67375E-06	1288.23073
5.67537E-06	1310.7937
5.67780E-06	1346.66779
5.67942E-06	1370.65759
5.68185E-06	1408.8103
5.68347E-06	1434.32463
5.68590E-06	1474.90928
5.68752E-06	1502.05024
5.68995E-06	1545.22569
5.69157E-06	1574.09969
5.69400E-06	1620.02998
5.69562E-06	1650.74659
5.69805E-06	1699.59958
5.69967E-06	1732.27088
5.70210E-06	1784.21688
5.70372E-06	1818.95617
5.70614E-06	1874.1654
5.70776E-06	1911.08653
5.71019E-06	1969.72739
5.71181E-06	2008.94284
5.71424E-06	2071.17871
5.71586E-06	2112.79722
5.71829E-06	2178.78405
5.71991E-06	2222.90919
5.72234E-06	2292.79114
5.72396E-06	2339.51864
5.72639E-06	2413.42432
5.72801E-06	2462.8397
5.73044E-06	2540.87731
5.73206E-06	2593.04442
5.73408E-06	2661.57957
5.73611E-06	2730.28667
5.73773E-06	2787.94568
5.74015E-06	2874.64375
5.74137E-06	2920.02007
5.74420E-06	3026.14532
5.74501E-06	3058.14121
5.75028E-06	3266.69091
5.75048E-06	3275.19956
5.75595E-06	3505.65079
5.75635E-06	3522.7712
5.76121E-06	3739.20826
5.76242E-06	3793.45056
5.76607E-06	3963.59239
5.76850E-06	4077.29065
5.77255E-06	4274.43839
5.77603E-06	4444.36419
5.77902E-06	4595.83216
5.80040E-06	5679.10937
5.80445E-06	5877.17985
5.80688E-06	5995.77833
5.81336E-06	6296.45705
5.81336E-06	6296.45748
5.81854E-06	6518.92543
5.81984E-06	6574.34877
5.82372E-06	6726.38086
5.82469E-06	6764.21257
5.82891E-06	6912.60381
5.82955E-06	6935.28635
5.83441E-06	7085.23105
5.83474E-06	7093.74801
