E(MeV)	pendfb7/Gd157:1
2.339456E-07	5576.16476
2.345364E-07	5539.48495
2.349330E-07	5514.8806
2.359287E-07	5453.09295
2.375229E-07	5357.15514
2.379287E-07	5332.7438
2.399456E-07	5215.07323
2.405516E-07	5180.78233
2.414690E-07	5128.89902
2.419796E-07	5100.01747
2.430009E-07	5043.99594
2.436147E-07	5010.33017
2.440309E-07	4987.50943
2.445459E-07	4960.12508
2.460995E-07	4877.50783
2.467211E-07	4845.4522
2.476620E-07	4796.95135
2.481857E-07	4769.95267
2.487095E-07	4743.76831
2.497614E-07	4691.17767
2.498627E-07	4686.11346
2.502896E-07	4664.78089
2.508178E-07	4639.18263
2.518786E-07	4587.76916
2.524113E-07	4561.95392
2.529440E-07	4536.91734
2.530488E-07	4531.98932
2.540138E-07	4486.65267
2.545510E-07	4461.41535
2.550882E-07	4436.93949
2.561671E-07	4387.78026
2.562710E-07	4383.04643
2.567088E-07	4363.10594
2.577923E-07	4315.25059
2.588849E-07	4266.98965
2.594313E-07	4243.58717
2.595388E-07	4238.98074
2.610795E-07	4173.01353
2.627371E-07	4104.18533
2.628436E-07	4099.76055
2.632927E-07	4081.12191
2.644039E-07	4036.39118
2.655246E-07	3991.28128
2.661952E-07	3965.1013
2.666453E-07	3947.54081
2.677755E-07	3903.44202
2.695848E-07	3834.9731
2.700454E-07	3817.55189
2.723346E-07	3733.57988
2.730224E-07	3709.11022
2.746432E-07	3651.47962
2.764989E-07	3587.48493
2.769713E-07	3571.20225
2.793192E-07	3492.71904
2.800247E-07	3469.84907
2.816870E-07	3415.98649
2.835903E-07	3356.17639
2.840748E-07	3340.95858
2.864829E-07	3267.60806
2.872065E-07	3246.23353
2.876921E-07	3231.89673
2.889115E-07	3195.89344
2.908636E-07	3139.99352
2.913606E-07	3125.77069
2.938304E-07	3057.21377
2.945725E-07	3037.23524
2.950706E-07	3023.8349
2.963212E-07	2990.18324
2.983235E-07	2937.93208
2.988331E-07	2924.63773
3.013664E-07	2860.55331
3.021275E-07	2841.87745
3.039210E-07	2797.89375
3.058506E-07	2751.99918
3.059746E-07	2749.04873
3.064974E-07	2736.62112
3.077910E-07	2706.79402
3.090956E-07	2676.71406
3.097478E-07	2662.12682
3.098762E-07	2659.25557
3.110579E-07	2632.84249
3.117158E-07	2618.13926
3.123736E-07	2603.87876
3.136948E-07	2575.23687
3.138220E-07	2572.47877
3.143582E-07	2560.8615
3.150216E-07	2546.92045
3.163540E-07	2518.92019
3.170230E-07	2504.86098
3.176920E-07	2491.22501
3.178237E-07	2488.541
3.190357E-07	2463.85062
3.197104E-07	2450.10639
3.203851E-07	2436.77597
3.217402E-07	2410.00214
3.218707E-07	2407.42393
3.224206E-07	2396.56445
3.231010E-07	2383.53271
3.251537E-07	2344.21654
3.259750E-07	2328.96087
3.272181E-07	2305.88091
3.279101E-07	2293.0331
3.292940E-07	2268.11087
3.301257E-07	2253.13403
3.306898E-07	2242.9828
3.313876E-07	2230.8008
3.334930E-07	2194.04822
3.343353E-07	2179.78704
3.363200E-07	2146.20166
3.385925E-07	2108.90316
3.391710E-07	2099.41366
3.406025E-07	2076.63741
3.420462E-07	2053.66809
3.429101E-07	2040.33604
3.449457E-07	2008.93904
3.472765E-07	1974.07013
3.478698E-07	1965.19884
3.508187E-07	1922.4326
3.517047E-07	1909.96857
3.522994E-07	1901.609
3.537926E-07	1880.61602
3.561831E-07	1848.01693
3.567917E-07	1839.7232
3.598162E-07	1799.74033
3.607250E-07	1788.08721
3.628664E-07	1760.64464
3.653182E-07	1730.16608
3.659424E-07	1722.41193
3.690445E-07	1685.02935
3.699766E-07	1674.13385
3.706021E-07	1666.82642
3.721729E-07	1648.47564
3.746876E-07	1619.97814
3.753278E-07	1612.72808
3.769119E-07	1595.32521
3.785094E-07	1577.7748
3.794654E-07	1567.58708
3.801070E-07	1560.75442
3.817181E-07	1543.59589
3.833291E-07	1526.95152
3.842973E-07	1516.9492
3.849539E-07	1510.17006
3.857662E-07	1502.03362
3.882171E-07	1477.48635
3.891976E-07	1467.95988
3.906818E-07	1453.54844
3.915080E-07	1445.52611
3.923342E-07	1437.74396
3.939937E-07	1422.11369
3.941534E-07	1420.60857
3.948269E-07	1414.2694
3.956601E-07	1406.66082
3.973335E-07	1391.37915
3.981738E-07	1383.70607
3.990141E-07	1376.26252
3.991795E-07	1374.79739
4.007017E-07	1361.32068
4.015491E-07	1353.81869
4.023965E-07	1346.54109
4.040985E-07	1331.9242
4.042624E-07	1330.51666
4.049531E-07	1324.58855
4.058076E-07	1317.47314
4.075240E-07	1303.18201
4.083858E-07	1296.00629
4.094173E-07	1287.67482
4.101095E-07	1282.08728
4.118477E-07	1268.05558
4.127169E-07	1261.2494
4.146306E-07	1246.26296
4.153390E-07	1240.71891
4.188598E-07	1213.98762
4.199177E-07	1206.19546
4.224105E-07	1187.84641
4.241933E-07	1175.11497
4.252647E-07	1167.46411
4.259912E-07	1162.2789
4.296024E-07	1137.27707
