E(MeV)	Nb-nat			
1.00795E-04	5.65708			
1.01110E-04	5.65593			
1.01377E-04	5.65524			
1.01644E-04	5.65487			
1.01911E-04	5.65489			
1.01948E-04	5.65495			
1.02089E-04	5.6535			
1.02267E-04	5.65194			
1.02445E-04	5.6507			
1.02638E-04	5.64979			
1.02795E-04	5.64948			
1.02953E-04	5.64965			
1.03110E-04	5.6504			
1.03214E-04	5.6513			
1.03319E-04	5.65258			
1.03411E-04	5.65408			
1.03528E-04	5.65661			
1.03607E-04	5.65876			
1.03685E-04	5.66133			
1.03764E-04	5.66441			
1.03842E-04	5.66809			
1.03921E-04	5.67246			
1.03999E-04	5.67768			
1.04041E-04	5.68101			
1.04078E-04	5.68271			
1.04130E-04	5.68581			
1.04183E-04	5.68954			
1.04235E-04	5.694			
1.04287E-04	5.69931			
1.04340E-04	5.70561			
1.04392E-04	5.71309			
1.04440E-04	5.72111			
1.04483E-04	5.72951			
1.04525E-04	5.73923			
1.04568E-04	5.75051			
1.04601E-04	5.76018			
1.04627E-04	5.76931			
1.04633E-04	5.77072			
1.04665E-04	5.7808			
1.04697E-04	5.79258			
1.04729E-04	5.80638			
1.04762E-04	5.82261			
1.04783E-04	5.83536			
1.04805E-04	5.84969			
1.04827E-04	5.86585			
1.04849E-04	5.88413			
1.04871E-04	5.90487			
1.04893E-04	5.92847			
1.04915E-04	5.95542			
1.04937E-04	5.98627			
1.04952E-04	6.00932			
1.04967E-04	6.03461			
1.04981E-04	6.06239			
1.04996E-04	6.09291			
1.05012E-04	6.129			
1.05027E-04	6.16897			
1.05030E-04	6.17487			
1.05043E-04	6.21206			
1.05059E-04	6.25975			
1.05075E-04	6.31271			
1.05090E-04	6.37149			
1.05106E-04	6.43667			
1.05122E-04	6.50885			
1.05137E-04	6.5887			
1.05153E-04	6.67686			
1.05168E-04	6.76726			
1.05180E-04	6.85145			
1.05193E-04	6.94221			
1.05205E-04	7.0399			
1.05214E-04	7.10907			
1.05231E-04	7.25757			
1.05247E-04	7.42034			
1.05264E-04	7.59814			
1.05281E-04	7.79171			
1.05297E-04	8.00168			
1.05316E-04	8.25812			
1.05335E-04	8.53646			
1.05354E-04	8.83696			
1.05365E-04	9.01615			
1.05373E-04	9.16084			
1.05392E-04	9.50804			
1.05414E-04	9.94354			
1.05435E-04	10.3804			
1.05438E-04	10.4424			
1.05462E-04	10.9735			
1.05495E-04	11.7547			
