E(MeV)	"HF-177(N,TOT)"	
5.26028E-06	77.8972	
5.27133E-06	79.9584	
5.28250E-06	82.0523	
5.28419E-06	82.3687	
5.29476E-06	84.566	
5.30342E-06	86.3719	
5.30919E-06	87.6917	
5.31881E-06	89.9002	
5.32265E-06	90.7868	
5.32842E-06	92.2486	
5.33804E-06	94.6933	
5.34188E-06	95.6749	
5.34765E-06	97.2982	
5.35727E-06	100.014	
5.36112E-06	101.104	
5.36689E-06	102.914	
5.37554E-06	105.638	
5.38035E-06	107.157	
5.38419E-06	108.507	
5.39285E-06	111.555	
5.39958E-06	113.934	
5.40150E-06	114.693	
5.41016E-06	118.117	
5.41881E-06	121.556	
5.42747E-06	125.418	
5.43612E-06	129.298	
5.43766E-06	129.991	
5.44737E-06	134.825	
5.45151E-06	136.894	
5.45487E-06	138.732	
5.46237E-06	142.845	
5.46535E-06	144.486	
5.46987E-06	147.211	
5.47737E-06	151.753	
5.47920E-06	152.865	
5.48487E-06	156.656	
5.49238E-06	161.69	
5.49305E-06	162.144	
5.49959E-06	166.991	
5.50613E-06	171.861	
5.50651E-06	172.174	
