E(MeV)	mcnp/Cd:1
9.01596E-05	228.8483202
0.000090186	209.1562462
9.02361E-05	175.7849631
9.02924E-05	144.4996221
0.000090321	130.9892785
9.03605E-05	114.6727576
0.0000904	100.8701087
9.04498E-05	86.59681981
9.04965E-05	75.85439121
9.05403E-05	67.67301743
9.05814E-05	61.34101746
9.06585E-05	52.08456657
0.000090726	45.94409439
9.08369E-05	38.27153504
9.09354E-05	32.99335794
9.10211E-05	29.21348366
9.11007E-05	26.26156111
9.11329E-05	25.20897046
0.0000912	23.2536602
9.12999E-05	20.88351628
9.13873E-05	19.23844049
9.14639E-05	18.04301413
0.000091531	17.13227817
9.16486E-05	15.74834528
9.17757E-05	14.46733831
9.18693E-05	13.64912759
0.000092002	12.67081983
9.21014E-05	12.07315387
9.22009E-05	11.57237761
9.23503E-05	10.94613125
9.24625E-05	10.53754219
9.26311E-05	9.991794642
0.0000928	9.530228515
9.29328E-05	9.23095619
9.30656E-05	8.976487013
9.32653E-05	8.640649099
9.34154E-05	8.405395277
9.36409E-05	8.071447645
0.000093867	7.775123231
0.000094167	7.460135819
0.000094468	7.203012919
9.47002E-05	7.036224274
0.000094933	6.892397213
9.53207E-05	6.689367174
0.00009571	6.510648912
0.000096099	6.361622626
0.000096488	6.229084521
0.000096744	6.154179891
0.000097	6.091814332
0.000097133	6.067276917
0.000097266	6.05039097
9.74111E-05	6.041284299
9.75383E-05	6.040302678
9.77612E-05	6.05032478
9.79287E-05	6.068066844
9.80546E-05	6.095472003
9.81176E-05	6.120207555
9.81805E-05	6.158656828
9.82436E-05	6.218336962
9.83068E-05	6.308902971
9.83383E-05	6.369458012
9.83699E-05	6.44249018
9.84014E-05	6.529967078
0.000098433	6.634108372
9.84694E-05	6.778272027
9.85035E-05	6.940837389
9.85356E-05	7.121747026
9.85656E-05	7.320696777
9.85937E-05	7.537571623
9.86201E-05	7.771947477
9.86449E-05	8.023379645
9.86681E-05	8.291457157
9.86899E-05	8.575200749
9.87117E-05	8.894802111
9.87498E-05	9.554716268
9.87831E-05	10.25793223
9.88123E-05	10.98820693
9.88379E-05	11.72957326
9.88603E-05	12.46675552
9.88994E-05	13.98257421
9.89288E-05	15.33180149
9.89508E-05	16.47617726
9.89729E-05	17.7428767
0.000099017	20.66842199
0.000099032	21.78802276
0.000099081	25.90102593
9.91244E-05	30.12844264
9.91666E-05	34.71695824
9.92069E-05	39.49563233
0.000099328	54.98887854
9.93717E-05	60.42594766
9.94538E-05	69.21496718
0.000099503	73.08554932
9.95515E-05	75.54260068
0.0000996	76.48959462
9.96485E-05	75.8652595
0.000099697	73.71857643
9.97407E-05	70.6036148
9.97735E-05	67.63740011
9.98228E-05	62.38454407
9.99311E-05	48.96596286
9.99877E-05	41.83786702
0.000100033	36.46449451
