E(MeV)	pendfb7/Kr83:1
2.79819E-05	6304.75289
2.79859E-05	6347.72937
2.79992E-05	6485.27709
2.80019E-05	6507.58562
2.80126E-05	6592.14787
2.80153E-05	6608.45102
2.80260E-05	6668.20517
2.80335E-05	6691.02543
2.80488E-05	6727.98561
2.80508E-05	6727.02607
2.80638E-05	6713.91064
2.80660E-05	6710.49778
2.80794E-05	6661.09522
2.80794E-05	6661.0948
2.80928E-05	6580.39992
2.81061E-05	6469.3589
2.81111E-05	6417.68215
2.81262E-05	6254.95944
2.81412E-05	6054.51304
2.81462E-05	5985.63293
2.81606E-05	5763.85036
2.81662E-05	5673.92232
2.81821E-05	5402.29514
2.81873E-05	5312.10832
2.82037E-05	5009.94134
2.82604E-05	3950.1162
2.82788E-05	3618.66568
2.82830E-05	3544.16753
