MeV	Ni-nat
6.89641E-03	11.6076
6.89650E-03	11.601
6.89660E-03	11.5948
6.89670E-03	11.589
6.89682E-03	11.5821
6.89695E-03	11.5758
6.89707E-03	11.5699
6.89719E-03	11.5645
6.89732E-03	11.5595
6.89744E-03	11.5548
6.89757E-03	11.5505
6.89769E-03	11.5465
6.89779E-03	11.5436
6.89781E-03	11.543
6.89794E-03	11.5403
6.89806E-03	11.5379
6.89819E-03	11.5356
6.89835E-03	11.5329
6.89852E-03	11.5304
6.89868E-03	11.5282
6.89885E-03	11.5262
6.89901E-03	11.5244
6.89918E-03	11.5228
6.89935E-03	11.5212
6.89958E-03	11.5192
6.89981E-03	11.5174
6.90005E-03	11.5158
6.90040E-03	11.5135
6.90075E-03	11.5114
6.90110E-03	11.5095
6.90145E-03	11.5077
6.90192E-03	11.5054
6.90238E-03	11.5032
6.90308E-03	11.5001
6.90386E-03	11.4969
6.90464E-03	11.4938
6.90542E-03	11.4908
6.90659E-03	11.4864
6.90776E-03	11.4821
6.90892E-03	11.478
6.91064E-03	11.472
6.91262E-03	11.4652
6.91461E-03	11.4585
6.91726E-03	11.4497
6.91990E-03	11.441
6.92458E-03	11.4257
6.92925E-03	11.4105
6.93626E-03	11.3878
6.94868E-03	11.3476
6.95877E-03	11.3151
6.98903E-03	11.2177
7.01929E-03	11.1203
7.05964E-03	10.9905
7.09998E-03	10.876
7.25094E-03	10.4479
7.43593E-03	9.98534
7.55291E-03	9.72962
7.61834E-03	9.58661
7.77994E-03	9.27958
7.83482E-03	9.17533
7.96955E-03	8.95702
8.02537E-03	8.86658
8.14622E-03	8.70291
8.20368E-03	8.62511
8.37770E-03	8.43162
8.39645E-03	8.41078
8.55309E-03	8.27956
8.72746E-03	8.1764
8.87545E-03	8.13765
8.90123E-03	8.13172
8.90520E-03	8.13083
8.90883E-03	8.13011
8.91708E-03	8.12869
9.07484E-03	8.10233
9.09638E-03	8.10341
9.10715E-03	8.10643
