MeV	"TL-205(N,TOT)"
1.48039E-03	8.96559
1.49002E-03	8.96243
1.50446E-03	8.95769
1.53057E-03	8.94913
1.56835E-03	8.93675
1.61292E-03	8.92215
1.65354E-03	8.90885
1.70053E-03	8.89347
1.74885E-03	8.87767
1.79781E-03	8.86167
1.83388E-03	8.84989
1.86994E-03	8.83812
1.90601E-03	8.81865
1.94208E-03	8.79919
1.96612E-03	8.78622
1.99017E-03	8.77326
2.01421E-03	8.76031
2.03825E-03	8.74736
2.06230E-03	8.73442
2.08634E-03	8.7215
2.11039E-03	8.70858
2.13443E-03	8.69568
2.15848E-03	8.675
2.18252E-03	8.65434
2.20657E-03	8.6337
2.23061E-03	8.61309
2.25466E-03	8.5925
2.27269E-03	8.57707
2.29190E-03	8.56066
2.30510E-03	8.54941
2.31170E-03	8.54072
2.32490E-03	8.52336
2.33810E-03	8.50601
2.35130E-03	8.48868
2.36450E-03	8.47138
2.37770E-03	8.45409
2.38925E-03	8.43898
2.40410E-03	8.41959
2.41895E-03	8.40024
2.42390E-03	8.3938
2.43380E-03	8.37442
2.44370E-03	8.35508
2.45360E-03	8.33576
2.46350E-03	8.31647
2.47670E-03	8.2908
2.48660E-03	8.2716
2.49650E-03	8.25243
2.50640E-03	8.23332
2.50970E-03	8.22696
2.51630E-03	8.20842
2.52620E-03	8.18068
2.53610E-03	8.153
2.54600E-03	8.12542
2.55260E-03	8.10708
2.55920E-03	8.08879
2.56580E-03	8.07055
2.56910E-03	8.06146
2.57240E-03	8.04851
2.57900E-03	8.02266
2.58560E-03	7.99688
2.58890E-03	7.98402
2.59550E-03	7.95838
2.60210E-03	7.93284
2.60870E-03	7.90741
2.61530E-03	7.88213
2.62190E-03	7.84689
2.63015E-03	7.8031
2.63510E-03	7.77698
2.64005E-03	7.751
2.64500E-03	7.72518
2.64830E-03	7.70809
2.64995E-03	7.69632
2.65490E-03	7.66122
2.65985E-03	7.62636
2.66480E-03	7.59176
2.66975E-03	7.55749
2.67305E-03	7.53483
2.67470E-03	7.5236
2.67635E-03	7.50829
2.67965E-03	7.47789
2.68295E-03	7.4477
2.68625E-03	7.41778
2.68955E-03	7.38813
2.69285E-03	7.35882
2.69450E-03	7.34434
2.69615E-03	7.32482
2.69945E-03	7.2862
2.70110E-03	7.26705
2.70440E-03	7.22918
2.70770E-03	7.19189
2.71018E-03	7.16437
2.71100E-03	7.15534
2.71265E-03	7.13098
2.71512E-03	7.09492
2.71760E-03	7.05942
2.72007E-03	7.02456
2.72255E-03	6.99042
2.72420E-03	6.96821
2.72502E-03	6.95354
2.72750E-03	6.91045
2.72998E-03	6.86848
2.73245E-03	6.82779
2.73410E-03	6.80149
2.73575E-03	6.76905
2.73740E-03	6.73744
2.73905E-03	6.70677
2.74070E-03	6.67716
2.74235E-03	6.64182
2.74400E-03	6.60783
2.74565E-03	6.57538
2.74730E-03	6.54467
2.74895E-03	6.50784
2.75019E-03	6.48176
2.75143E-03	6.4572
2.75266E-03	6.4343
2.75390E-03	6.41323
2.75501E-03	6.38995
2.75613E-03	6.36856
2.75724E-03	6.34928
2.75835E-03	6.33232
2.75947E-03	6.31814
2.76058E-03	6.3071
2.76170E-03	6.2996
2.76281E-03	6.29616
2.76392E-03	6.29705
2.76504E-03	6.30323
2.76611E-03	6.31509
2.76710E-03	6.33203
2.76726E-03	6.33596
2.76809E-03	6.36201
2.76875E-03	6.38706
2.76941E-03	6.4159
2.77007E-03	6.44897
2.77024E-03	6.45841
2.77073E-03	6.49383
2.77135E-03	6.54286
2.77193E-03	6.59325
2.77238E-03	6.63674
2.77250E-03	6.65026
2.77304E-03	6.71396
2.77308E-03	6.71938
2.77366E-03	6.80136
2.77420E-03	6.88384
2.77424E-03	6.89106
2.77481E-03	6.99977
2.77535E-03	7.10866
2.77539E-03	7.11825
2.77588E-03	7.23877
2.77647E-03	7.39621
2.77650E-03	7.40568
2.77707E-03	7.58641
2.77737E-03	7.69242
2.77766E-03	7.80478
2.77825E-03	8.05304
2.77829E-03	8.06793
2.77885E-03	8.34698
2.77891E-03	8.38211
2.77934E-03	8.63071
2.77954E-03	8.75265
2.77984E-03	8.95269
2.78017E-03	9.18864
2.78033E-03	9.31695
2.78066E-03	9.58926
2.78083E-03	9.73637
2.78116E-03	10.0486
2.78132E-03	10.2178
